hav.yr	plot	Snr	d	h	lc	year	h.d
2013	3	9	0.211	17.3	12.3	2010	0.16
2013	3	10	0.1745	16.8	8.2	2010	0.16
2013	3	11	0.205	19.1	10	2010	0.21
2013	3	12	0.1865	17.4	6.9	2010	0.11
2013	3	13	0.2025	19.4	7.8	2010	0.15
2018	2	1	0.1775	16.92	9.41	2010	0.4
2018	2	2	0.1495	15.6	6.28	2010	0.36
2018	2	3	0.2725	19.87	10.89	2010	0.34
2018	2	4	0.205	18.2	6.97	2010	0.245
2018	2	5	0.242	20.72	8.18	2010	0.37
2018	2	6	0.1205	15.7	5.69	2010	0.53
2018	3	7	0.1775	17.03	6.88	2010	0.26
2018	3	8	0.264	19.41	8.99	2010	0.16
2018	3	9	0.1195	14.48	6.88	2010	0.25
2018	3	10	0.2345	21.36	10.74	2010	0.32
2018	3	11	0.1525	16.68	7.29	2010	0.45
2018	3	12	0.1825	16.58	7.15	2010	0.36
2022	2	1	0.2575	17.65	8.05	2010	0.29
2022	2	2	0.1965	16.69	7.21	2010	0.43
2022	2	3	0.153	16.88	6.18	2010	0.38
2022	2	4	0.093	13.37	3.72	2010	0.17
2022	2	5	0.2105	18.73	7.28	2010	0.34
2022	2	6	0.35	23.3	9.5	2010	0.3
2022	2	7	0.28	21.7	8.55	2010	0.36
2022	3	8	0.2205	22	9.6	2010	0.36
2022	3	9	0.2825	21.42	14.05	2010	0.19
2022	3	10	0.1275	15.6	4.15	2010	0.24
2022	3	11	0.087	12.16	2.86	2010	0.16
2022	3	12	0.147	15.4	5.05	2010	0.23
2022	3	13	0.246	18.94	7.92	2010	0.16
2022	3	14	0.193	17.4	9.3	2010	0.19
2011	2	1	0.1335	16.18	7.93	2011	0.47
2011	2	2	0.1435	15.01	7.05	2011	0.49
2011	2	3	0.181	16.63	7.88	2011	0.38
2011	2	4	0.1845	16.03	11.34	2011	0.48
2011	2	5	0.2395	17.36	11.98	2011	0.34
2011	2	6	0.234	15.76	7.31	2011	0.4
2011	3	7	0.1405	13.93	6.75	2011	0.21
2011	3	8	0.1405	17.01	6.96	2011	0.17
2011	3	9	0.18	15.48	7	2011	0.23
2011	3	10	0.179	14.69	11.24	2011	0.32
2011	3	11	0.2395	15.61	8.51	2011	0.16
2011	3	12	0.241	18.09	9.19	2011	0.24
2013	2	1	0.1645	17.1	6.3	2011	0.21
2013	2	2	0.225	18.7	6.5	2011	0.2
2013	2	3	0.226	18.2	9.3	2011	0.34
2013	2	4	0.221	15.4	7.8	2011	0.5
2013	2	5	0.2265	19.1	8.1	2011	0.31
2013	2	6	0.235	20.5	10.4	2011	0.335
2013	2	7	0.237	20.5	10.3	2011	0.34
2013	2	8	0.187	18.7	8.9	2011	0.19
2013	2	9	0.1945	17.3	6.5	2011	0.235
2013	2	10	0.1915	17.1	9.3	2011	0.115
2013	2	11	0.1945	17	7.5	2011	0.135
2013	3	1	0.212	18.7	10.4	2011	0.18
2013	3	2	0.251	18.7	10.1	2011	0.15
2013	3	3	0.2065	19.3	10.7	2011	0.22
2013	3	4	0.189	18.5	12	2011	0.18
2013	3	5	0.1925	18.5	10.1	2011	0.25
2013	3	6	0.2565	16.7	12.6	2011	0.225
2013	3	7	0.205	15.5	10.3	2011	0.155
2013	3	8	0.12	18.2	12.4	2011	0.195
2013	3	9	0.211	17.3	12.3	2011	0.12
2013	3	10	0.1745	16.8	8.2	2011	0.13
2013	3	11	0.205	19.1	10	2011	0.15
2013	3	12	0.1865	17.4	6.9	2011	0.11
2013	3	13	0.2025	19.4	7.8	2011	0.1
2018	2	1	0.1775	16.92	9.41	2011	0.43
2018	2	2	0.1495	15.6	6.28	2011	0.365
2018	2	3	0.2725	19.87	10.89	2011	0.21
2018	2	4	0.205	18.2	6.97	2011	0.36
2018	2	5	0.242	20.72	8.18	2011	0.365
2018	2	6	0.1205	15.7	5.69	2011	0.6
2018	3	7	0.1775	17.03	6.88	2011	0.245
2018	3	8	0.264	19.41	8.99	2011	0.14
2018	3	9	0.1195	14.48	6.88	2011	0.22
2018	3	10	0.2345	21.36	10.74	2011	0.36
2018	3	11	0.1525	16.68	7.29	2011	0.36
2018	3	12	0.1825	16.58	7.15	2011	0.19
2022	2	1	0.2575	17.65	8.05	2011	0.4
2022	2	2	0.1965	16.69	7.21	2011	0.42
2022	2	3	0.153	16.88	6.18	2011	0.42
2022	2	4	0.093	13.37	3.72	2011	0.29
2022	2	5	0.2105	18.73	7.28	2011	0.32
2022	2	6	0.35	23.3	9.5	2011	0.29
2022	2	7	0.28	21.7	8.55	2011	0.39
2022	3	8	0.2205	22	9.6	2011	0.33
2022	3	9	0.2825	21.42	14.05	2011	0.23
2022	3	10	0.1275	15.6	4.15	2011	0.25
2022	3	11	0.087	12.16	2.86	2011	0.17
2022	3	12	0.147	15.4	5.05	2011	0.2
2022	3	13	0.246	18.94	7.92	2011	0.14
2022	3	14	0.193	17.4	9.3	2011	0.13
2011	2	1	0.1335	16.18	7.93	2012	NA
2011	2	2	0.1435	15.01	7.05	2012	NA
2011	2	3	0.181	16.63	7.88	2012	NA
2011	2	4	0.1845	16.03	11.34	2012	NA
2011	2	5	0.2395	17.36	11.98	2012	NA
2011	2	6	0.234	15.76	7.31	2012	NA
2011	3	7	0.1405	13.93	6.75	2012	NA
2011	3	8	0.1405	17.01	6.96	2012	NA
2011	3	9	0.18	15.48	7	2012	NA
2011	3	10	0.179	14.69	11.24	2012	NA
2011	3	11	0.2395	15.61	8.51	2012	NA
2011	3	12	0.241	18.09	9.19	2012	NA
2013	2	1	0.1645	17.1	6.3	2012	0.215
2013	2	2	0.225	18.7	6.5	2012	0.21
2013	2	3	0.226	18.2	9.3	2012	0.4
2013	2	4	0.221	15.4	7.8	2012	0.47
2013	2	5	0.2265	19.1	8.1	2012	0.32
2013	2	6	0.235	20.5	10.4	2012	0.315
2013	2	7	0.237	20.5	10.3	2012	0.31
2013	2	8	0.187	18.7	8.9	2012	0.25
2013	2	9	0.1945	17.3	6.5	2012	0.215
2013	2	10	0.1915	17.1	9.3	2012	0.145
2013	2	11	0.1945	17	7.5	2012	0.195
2013	3	1	0.212	18.7	10.4	2012	0.22
2013	3	2	0.251	18.7	10.1	2012	0.18
2013	3	3	0.2065	19.3	10.7	2012	0.17
2013	3	4	0.189	18.5	12	2012	0.2
2013	3	5	0.1925	18.5	10.1	2012	0.315
2013	3	6	0.2565	16.7	12.6	2012	0.22
2013	3	7	0.205	15.5	10.3	2012	0.21
2013	3	8	0.12	18.2	12.4	2012	0.2
2013	3	9	0.211	17.3	12.3	2012	0.1
2013	3	10	0.1745	16.8	8.2	2012	0.16
2013	3	11	0.205	19.1	10	2012	0.21
2013	3	12	0.1865	17.4	6.9	2012	0.15
2013	3	13	0.2025	19.4	7.8	2012	0.17
2018	2	1	0.1775	16.92	9.41	2012	0.42
2018	2	2	0.1495	15.6	6.28	2012	0.4
2018	2	3	0.2725	19.87	10.89	2012	0.21
2018	2	4	0.205	18.2	6.97	2012	0.16
2018	2	5	0.242	20.72	8.18	2012	0.37
2018	2	6	0.1205	15.7	5.69	2012	0.49
2018	3	7	0.1775	17.03	6.88	2012	0.26
2018	3	8	0.264	19.41	8.99	2012	0.2
2018	3	9	0.1195	14.48	6.88	2012	0.23
2018	3	10	0.2345	21.36	10.74	2012	0.38
2018	3	11	0.1525	16.68	7.29	2012	0.32
2018	3	12	0.1825	16.58	7.15	2012	0.26
2022	2	1	0.2575	17.65	8.05	2012	0.36
2022	2	2	0.1965	16.69	7.21	2012	0.38
2022	2	3	0.153	16.88	6.18	2012	0.35
2022	2	4	0.093	13.37	3.72	2012	0.38
2022	2	5	0.2105	18.73	7.28	2012	0.31
2022	2	6	0.35	23.3	9.5	2012	0.25
2022	2	7	0.28	21.7	8.55	2012	0.24
2022	3	8	0.2205	22	9.6	2012	0.31
2022	3	9	0.2825	21.42	14.05	2012	0.24
2022	3	10	0.1275	15.6	4.15	2012	0.27
2022	3	11	0.087	12.16	2.86	2012	0.17
2022	3	12	0.147	15.4	5.05	2012	0.18
2022	3	13	0.246	18.94	7.92	2012	0.15
2022	3	14	0.193	17.4	9.3	2012	0.13
2011	2	1	0.1335	16.18	7.93	2013	NA
2011	2	2	0.1435	15.01	7.05	2013	NA
2011	2	3	0.181	16.63	7.88	2013	NA
2011	2	4	0.1845	16.03	11.34	2013	NA
2011	2	5	0.2395	17.36	11.98	2013	NA
2011	2	6	0.234	15.76	7.31	2013	NA
2011	3	7	0.1405	13.93	6.75	2013	NA
2011	3	8	0.1405	17.01	6.96	2013	NA
2011	3	9	0.18	15.48	7	2013	NA
2011	3	10	0.179	14.69	11.24	2013	NA
2011	3	11	0.2395	15.61	8.51	2013	NA
2011	3	12	0.241	18.09	9.19	2013	NA
2013	2	1	0.1645	17.1	6.3	2013	0.225
2013	2	2	0.225	18.7	6.5	2013	0.2
2013	2	3	0.226	18.2	9.3	2013	0.28
2013	2	4	0.221	15.4	7.8	2013	0.4
2013	2	5	0.2265	19.1	8.1	2013	0.27
2013	2	6	0.235	20.5	10.4	2013	0.19
2013	2	7	0.237	20.5	10.3	2013	0.19
2013	2	8	0.187	18.7	8.9	2013	0.23
2013	2	9	0.1945	17.3	6.5	2013	0.3
2013	2	10	0.1915	17.1	9.3	2013	0.265
2013	2	11	0.1945	17	7.5	2013	0.27
2013	3	1	0.212	18.7	10.4	2013	0.32
2013	3	2	0.251	18.7	10.1	2013	0.235
2013	3	3	0.2065	19.3	10.7	2013	0.28
2013	3	4	0.189	18.5	12	2013	0.26
2013	3	5	0.1925	18.5	10.1	2013	0.34
2013	3	6	0.2565	16.7	12.6	2013	0.23
2013	3	7	0.205	15.5	10.3	2013	0.24
2013	3	8	0.12	18.2	12.4	2013	0.21
2013	3	9	0.211	17.3	12.3	2013	0.22
2013	3	10	0.1745	16.8	8.2	2013	0.17
2013	3	11	0.205	19.1	10	2013	0.24
2013	3	12	0.1865	17.4	6.9	2013	0.11
2013	3	13	0.2025	19.4	7.8	2013	0.255
2018	2	1	0.1775	16.92	9.41	2013	0.3
2018	2	2	0.1495	15.6	6.28	2013	0.42
2018	2	3	0.2725	19.87	10.89	2013	0.2
2018	2	4	0.205	18.2	6.97	2013	0.28
2018	2	5	0.242	20.72	8.18	2013	0.33
2018	2	6	0.1205	15.7	5.69	2013	0.49
2018	3	7	0.1775	17.03	6.88	2013	0.255
2018	3	8	0.264	19.41	8.99	2013	0.3
2018	3	9	0.1195	14.48	6.88	2013	0.25
2018	3	10	0.2345	21.36	10.74	2013	0.31
2018	3	11	0.1525	16.68	7.29	2013	0.43
2018	3	12	0.1825	16.58	7.15	2013	0.27
2022	2	1	0.2575	17.65	8.05	2013	0.31
2022	2	2	0.1965	16.69	7.21	2013	0.37
2022	2	3	0.153	16.88	6.18	2013	0.25
2022	2	4	0.093	13.37	3.72	2013	0.43
2022	2	5	0.2105	18.73	7.28	2013	0.32
2022	2	6	0.35	23.3	9.5	2013	0.36
2022	2	7	0.28	21.7	8.55	2013	0.37
2022	3	8	0.2205	22	9.6	2013	0.28
2022	3	9	0.2825	21.42	14.05	2013	0.28
2022	3	10	0.1275	15.6	4.15	2013	0.26
2022	3	11	0.087	12.16	2.86	2013	0.13
2022	3	12	0.147	15.4	5.05	2013	0.09
2022	3	13	0.246	18.94	7.92	2013	0.17
2022	3	14	0.193	17.4	9.3	2013	0.21
2011	2	1	0.1335	16.18	7.93	2014	NA
2011	2	2	0.1435	15.01	7.05	2014	NA
2011	2	3	0.181	16.63	7.88	2014	NA
2011	2	4	0.1845	16.03	11.34	2014	NA
2011	2	5	0.2395	17.36	11.98	2014	NA
2011	2	6	0.234	15.76	7.31	2014	NA
2011	3	7	0.1405	13.93	6.75	2014	NA
2011	3	8	0.1405	17.01	6.96	2014	NA
2011	3	9	0.18	15.48	7	2014	NA
2011	3	10	0.179	14.69	11.24	2014	NA
2011	3	11	0.2395	15.61	8.51	2014	NA
2011	3	12	0.241	18.09	9.19	2014	NA
2013	2	1	0.1645	17.1	6.3	2014	NA
2013	2	2	0.225	18.7	6.5	2014	NA
2013	2	3	0.226	18.2	9.3	2014	NA
2013	2	4	0.221	15.4	7.8	2014	NA
2013	2	5	0.2265	19.1	8.1	2014	NA
2013	2	6	0.235	20.5	10.4	2014	NA
2013	2	7	0.237	20.5	10.3	2014	NA
2013	2	8	0.187	18.7	8.9	2014	NA
2013	2	9	0.1945	17.3	6.5	2014	NA
2013	2	10	0.1915	17.1	9.3	2014	NA
2013	2	11	0.1945	17	7.5	2014	NA
2013	3	1	0.212	18.7	10.4	2014	NA
2013	3	2	0.251	18.7	10.1	2014	NA
2013	3	3	0.2065	19.3	10.7	2014	NA
2013	3	4	0.189	18.5	12	2014	NA
2013	3	5	0.1925	18.5	10.1	2014	NA
2013	3	6	0.2565	16.7	12.6	2014	NA
2013	3	7	0.205	15.5	10.3	2014	NA
2013	3	8	0.12	18.2	12.4	2014	NA
2013	3	9	0.211	17.3	12.3	2014	NA
2013	3	10	0.1745	16.8	8.2	2014	NA
2013	3	11	0.205	19.1	10	2014	NA
2013	3	12	0.1865	17.4	6.9	2014	NA
2013	3	13	0.2025	19.4	7.8	2014	NA
2018	2	1	0.1775	16.92	9.41	2014	0.17
2018	2	2	0.1495	15.6	6.28	2014	0.35
2018	2	3	0.2725	19.87	10.89	2014	0.3
2018	2	4	0.205	18.2	6.97	2014	0.16
2018	2	5	0.242	20.72	8.18	2014	0.32
2018	2	6	0.1205	15.7	5.69	2014	0.59
2018	3	7	0.1775	17.03	6.88	2014	0.31
2018	3	8	0.264	19.41	8.99	2014	0.33
2018	3	9	0.1195	14.48	6.88	2014	0.27
2018	3	10	0.2345	21.36	10.74	2014	0.37
2018	3	11	0.1525	16.68	7.29	2014	0.37
2018	3	12	0.1825	16.58	7.15	2014	0.3
2022	2	1	0.2575	17.65	8.05	2014	0.34
2022	2	2	0.1965	16.69	7.21	2014	0.2
2022	2	3	0.153	16.88	6.18	2014	0.23
2022	2	4	0.093	13.37	3.72	2014	0.41
2022	2	5	0.2105	18.73	7.28	2014	0.2
2022	2	6	0.35	23.3	9.5	2014	0.35
2022	2	7	0.28	21.7	8.55	2014	0.3
2022	3	8	0.2205	22	9.6	2014	0.28
2022	3	9	0.2825	21.42	14.05	2014	0.34
2022	3	10	0.1275	15.6	4.15	2014	0.26
2022	3	11	0.087	12.16	2.86	2014	0.12
2022	3	12	0.147	15.4	5.05	2014	0.17
2022	3	13	0.246	18.94	7.92	2014	0.17
2022	3	14	0.193	17.4	9.3	2014	0.2
2011	2	1	0.1335	16.18	7.93	2015	NA
2011	2	2	0.1435	15.01	7.05	2015	NA
2011	2	3	0.181	16.63	7.88	2015	NA
2011	2	4	0.1845	16.03	11.34	2015	NA
2011	2	5	0.2395	17.36	11.98	2015	NA
2011	2	6	0.234	15.76	7.31	2015	NA
2011	3	7	0.1405	13.93	6.75	2015	NA
2011	3	8	0.1405	17.01	6.96	2015	NA
2011	3	9	0.18	15.48	7	2015	NA
2011	3	10	0.179	14.69	11.24	2015	NA
2011	3	11	0.2395	15.61	8.51	2015	NA
2011	3	12	0.241	18.09	9.19	2015	NA
2013	2	1	0.1645	17.1	6.3	2015	NA
2013	2	2	0.225	18.7	6.5	2015	NA
2013	2	3	0.226	18.2	9.3	2015	NA
2013	2	4	0.221	15.4	7.8	2015	NA
2013	2	5	0.2265	19.1	8.1	2015	NA
2013	2	6	0.235	20.5	10.4	2015	NA
2013	2	7	0.237	20.5	10.3	2015	NA
2013	2	8	0.187	18.7	8.9	2015	NA
2013	2	9	0.1945	17.3	6.5	2015	NA
2013	2	10	0.1915	17.1	9.3	2015	NA
2013	2	11	0.1945	17	7.5	2015	NA
2013	3	1	0.212	18.7	10.4	2015	NA
2013	3	2	0.251	18.7	10.1	2015	NA
2013	3	3	0.2065	19.3	10.7	2015	NA
2013	3	4	0.189	18.5	12	2015	NA
2013	3	5	0.1925	18.5	10.1	2015	NA
2013	3	6	0.2565	16.7	12.6	2015	NA
2013	3	7	0.205	15.5	10.3	2015	NA
2013	3	8	0.12	18.2	12.4	2015	NA
2013	3	9	0.211	17.3	12.3	2015	NA
2013	3	10	0.1745	16.8	8.2	2015	NA
2013	3	11	0.205	19.1	10	2015	NA
2013	3	12	0.1865	17.4	6.9	2015	NA
2013	3	13	0.2025	19.4	7.8	2015	NA
2018	2	1	0.1775	16.92	9.41	2015	0.35
2018	2	2	0.1495	15.6	6.28	2015	0.23
2018	2	3	0.2725	19.87	10.89	2015	0.33
2018	2	4	0.205	18.2	6.97	2015	0.31
2018	2	5	0.242	20.72	8.18	2015	0.33
2018	2	6	0.1205	15.7	5.69	2015	0.5
2018	3	7	0.1775	17.03	6.88	2015	0.24
2018	3	8	0.264	19.41	8.99	2015	0.2
2018	3	9	0.1195	14.48	6.88	2015	0.22
2018	3	10	0.2345	21.36	10.74	2015	0.31
2018	3	11	0.1525	16.68	7.29	2015	0.28
2018	3	12	0.1825	16.58	7.15	2015	0.33
2022	2	1	0.2575	17.65	8.05	2015	0.28
2022	2	2	0.1965	16.69	7.21	2015	0.33
2022	2	3	0.153	16.88	6.18	2015	0.35
2022	2	4	0.093	13.37	3.72	2015	0.41
2022	2	5	0.2105	18.73	7.28	2015	0.37
2022	2	6	0.35	23.3	9.5	2015	0.21
2022	2	7	0.28	21.7	8.55	2015	0.26
2022	3	8	0.2205	22	9.6	2015	0.21
2022	3	9	0.2825	21.42	14.05	2015	0.32
2022	3	10	0.1275	15.6	4.15	2015	0.23
2022	3	11	0.087	12.16	2.86	2015	0.11
2022	3	12	0.147	15.4	5.05	2015	0.17
2022	3	13	0.246	18.94	7.92	2015	0.16
2022	3	14	0.193	17.4	9.3	2015	0.13
2011	2	1	0.1335	16.18	7.93	2016	NA
2011	2	2	0.1435	15.01	7.05	2016	NA
2011	2	3	0.181	16.63	7.88	2016	NA
2011	2	4	0.1845	16.03	11.34	2016	NA
2011	2	5	0.2395	17.36	11.98	2016	NA
2011	2	6	0.234	15.76	7.31	2016	NA
2011	3	7	0.1405	13.93	6.75	2016	NA
2011	3	8	0.1405	17.01	6.96	2016	NA
2011	3	9	0.18	15.48	7	2016	NA
2011	3	10	0.179	14.69	11.24	2016	NA
2011	3	11	0.2395	15.61	8.51	2016	NA
2011	3	12	0.241	18.09	9.19	2016	NA
2013	2	1	0.1645	17.1	6.3	2016	NA
2013	2	2	0.225	18.7	6.5	2016	NA
2013	2	3	0.226	18.2	9.3	2016	NA
2013	2	4	0.221	15.4	7.8	2016	NA
2013	2	5	0.2265	19.1	8.1	2016	NA
2013	2	6	0.235	20.5	10.4	2016	NA
2013	2	7	0.237	20.5	10.3	2016	NA
2013	2	8	0.187	18.7	8.9	2016	NA
2013	2	9	0.1945	17.3	6.5	2016	NA
2013	2	10	0.1915	17.1	9.3	2016	NA
2013	2	11	0.1945	17	7.5	2016	NA
2013	3	1	0.212	18.7	10.4	2016	NA
2013	3	2	0.251	18.7	10.1	2016	NA
2013	3	3	0.2065	19.3	10.7	2016	NA
2013	3	4	0.189	18.5	12	2016	NA
2013	3	5	0.1925	18.5	10.1	2016	NA
2013	3	6	0.2565	16.7	12.6	2016	NA
2013	3	7	0.205	15.5	10.3	2016	NA
2013	3	8	0.12	18.2	12.4	2016	NA
2013	3	9	0.211	17.3	12.3	2016	NA
2013	3	10	0.1745	16.8	8.2	2016	NA
2013	3	11	0.205	19.1	10	2016	NA
2013	3	12	0.1865	17.4	6.9	2016	NA
2013	3	13	0.2025	19.4	7.8	2016	NA
2018	2	1	0.1775	16.92	9.41	2016	0.31
2018	2	2	0.1495	15.6	6.28	2016	0.19
2018	2	3	0.2725	19.87	10.89	2016	0.27
2018	2	4	0.205	18.2	6.97	2016	0.195
2018	2	5	0.242	20.72	8.18	2016	0.23
2018	2	6	0.1205	15.7	5.69	2016	0.41
2018	3	7	0.1775	17.03	6.88	2016	0.23
2018	3	8	0.264	19.41	8.99	2016	0.21
2018	3	9	0.1195	14.48	6.88	2016	0.21
2018	3	10	0.2345	21.36	10.74	2016	0.15
2018	3	11	0.1525	16.68	7.29	2016	0.22
2018	3	12	0.1825	16.58	7.15	2016	0.235
2022	2	1	0.2575	17.65	8.05	2016	0.21
2022	2	2	0.1965	16.69	7.21	2016	0.24
2022	2	3	0.153	16.88	6.18	2016	0.25
2022	2	4	0.093	13.37	3.72	2016	0.4
2022	2	5	0.2105	18.73	7.28	2016	0.3
2022	2	6	0.35	23.3	9.5	2016	0.22
2022	2	7	0.28	21.7	8.55	2016	0.24
2022	3	8	0.2205	22	9.6	2016	0.16
2022	3	9	0.2825	21.42	14.05	2016	0.23
2022	3	10	0.1275	15.6	4.15	2016	0.17
2022	3	11	0.087	12.16	2.86	2016	0.11
2022	3	12	0.147	15.4	5.05	2016	0.15
2022	3	13	0.246	18.94	7.92	2016	0.12
2022	3	14	0.193	17.4	9.3	2016	0.16
2011	2	1	0.1335	16.18	7.93	2017	NA
2011	2	2	0.1435	15.01	7.05	2017	NA
2011	2	3	0.181	16.63	7.88	2017	NA
2011	2	4	0.1845	16.03	11.34	2017	NA
2011	2	5	0.2395	17.36	11.98	2017	NA
2011	2	6	0.234	15.76	7.31	2017	NA
2011	3	7	0.1405	13.93	6.75	2017	NA
2011	3	8	0.1405	17.01	6.96	2017	NA
2011	3	9	0.18	15.48	7	2017	NA
2011	3	10	0.179	14.69	11.24	2017	NA
2011	3	11	0.2395	15.61	8.51	2017	NA
2011	3	12	0.241	18.09	9.19	2017	NA
2013	2	1	0.1645	17.1	6.3	2017	NA
2013	2	2	0.225	18.7	6.5	2017	NA
2013	2	3	0.226	18.2	9.3	2017	NA
2013	2	4	0.221	15.4	7.8	2017	NA
2013	2	5	0.2265	19.1	8.1	2017	NA
2013	2	6	0.235	20.5	10.4	2017	NA
2013	2	7	0.237	20.5	10.3	2017	NA
2013	2	8	0.187	18.7	8.9	2017	NA
2013	2	9	0.1945	17.3	6.5	2017	NA
2013	2	10	0.1915	17.1	9.3	2017	NA
2013	2	11	0.1945	17	7.5	2017	NA
2013	3	1	0.212	18.7	10.4	2017	NA
2013	3	2	0.251	18.7	10.1	2017	NA
2013	3	3	0.2065	19.3	10.7	2017	NA
2013	3	4	0.189	18.5	12	2017	NA
2013	3	5	0.1925	18.5	10.1	2017	NA
2013	3	6	0.2565	16.7	12.6	2017	NA
2013	3	7	0.205	15.5	10.3	2017	NA
2013	3	8	0.12	18.2	12.4	2017	NA
2013	3	9	0.211	17.3	12.3	2017	NA
2013	3	10	0.1745	16.8	8.2	2017	NA
2013	3	11	0.205	19.1	10	2017	NA
2013	3	12	0.1865	17.4	6.9	2017	NA
2013	3	13	0.2025	19.4	7.8	2017	NA
2018	2	1	0.1775	16.92	9.41	2017	0.39
2018	2	2	0.1495	15.6	6.28	2017	0.235
2018	2	3	0.2725	19.87	10.89	2017	0.3
2018	2	4	0.205	18.2	6.97	2017	0.255
2018	2	5	0.242	20.72	8.18	2017	0.25
2018	2	6	0.1205	15.7	5.69	2017	0.49
2018	3	7	0.1775	17.03	6.88	2017	0.205
2018	3	8	0.264	19.41	8.99	2017	0.2
2018	3	9	0.1195	14.48	6.88	2017	0.2
2018	3	10	0.2345	21.36	10.74	2017	0.18
2018	3	11	0.1525	16.68	7.29	2017	0.25
2018	3	12	0.1825	16.58	7.15	2017	0.3
2022	2	1	0.2575	17.65	8.05	2017	0.22
2022	2	2	0.1965	16.69	7.21	2017	0.28
2022	2	3	0.153	16.88	6.18	2017	0.31
2022	2	4	0.093	13.37	3.72	2017	0.32
2022	2	5	0.2105	18.73	7.28	2017	0.37
2022	2	6	0.35	23.3	9.5	2017	0.25
2022	2	7	0.28	21.7	8.55	2017	0.27
2022	3	8	0.2205	22	9.6	2017	0.2
2022	3	9	0.2825	21.42	14.05	2017	0.25
2022	3	10	0.1275	15.6	4.15	2017	0.22
2022	3	11	0.087	12.16	2.86	2017	0.08
2022	3	12	0.147	15.4	5.05	2017	0.2
2022	3	13	0.246	18.94	7.92	2017	0.14
2022	3	14	0.193	17.4	9.3	2017	0.19
2011	2	1	0.1335	16.18	7.93	2018	NA
2011	2	2	0.1435	15.01	7.05	2018	NA
2011	2	3	0.181	16.63	7.88	2018	NA
2011	2	4	0.1845	16.03	11.34	2018	NA
2011	2	5	0.2395	17.36	11.98	2018	NA
2011	2	6	0.234	15.76	7.31	2018	NA
2011	3	7	0.1405	13.93	6.75	2018	NA
2011	3	8	0.1405	17.01	6.96	2018	NA
2011	3	9	0.18	15.48	7	2018	NA
2011	3	10	0.179	14.69	11.24	2018	NA
2011	3	11	0.2395	15.61	8.51	2018	NA
2011	3	12	0.241	18.09	9.19	2018	NA
2013	2	1	0.1645	17.1	6.3	2018	NA
2013	2	2	0.225	18.7	6.5	2018	NA
2013	2	3	0.226	18.2	9.3	2018	NA
2013	2	4	0.221	15.4	7.8	2018	NA
2013	2	5	0.2265	19.1	8.1	2018	NA
2013	2	6	0.235	20.5	10.4	2018	NA
2013	2	7	0.237	20.5	10.3	2018	NA
2013	2	8	0.187	18.7	8.9	2018	NA
2013	2	9	0.1945	17.3	6.5	2018	NA
2013	2	10	0.1915	17.1	9.3	2018	NA
2013	2	11	0.1945	17	7.5	2018	NA
2013	3	1	0.212	18.7	10.4	2018	NA
2013	3	2	0.251	18.7	10.1	2018	NA
2013	3	3	0.2065	19.3	10.7	2018	NA
2013	3	4	0.189	18.5	12	2018	NA
2013	3	5	0.1925	18.5	10.1	2018	NA
2013	3	6	0.2565	16.7	12.6	2018	NA
2013	3	7	0.205	15.5	10.3	2018	NA
2013	3	8	0.12	18.2	12.4	2018	NA
2013	3	9	0.211	17.3	12.3	2018	NA
2013	3	10	0.1745	16.8	8.2	2018	NA
2013	3	11	0.205	19.1	10	2018	NA
2013	3	12	0.1865	17.4	6.9	2018	NA
2013	3	13	0.2025	19.4	7.8	2018	NA
2018	2	1	0.1775	16.92	9.41	2018	0.17
2018	2	2	0.1495	15.6	6.28	2018	0.165
2018	2	3	0.2725	19.87	10.89	2018	0.23
2018	2	4	0.205	18.2	6.97	2018	0.25
2018	2	5	0.242	20.72	8.18	2018	0.265
2018	2	6	0.1205	15.7	5.69	2018	0.38
2018	3	7	0.1775	17.03	6.88	2018	0.225
2018	3	8	0.264	19.41	8.99	2018	0.23
2018	3	9	0.1195	14.48	6.88	2018	0.19
2018	3	10	0.2345	21.36	10.74	2018	0.17
2018	3	11	0.1525	16.68	7.29	2018	0.2
2018	3	12	0.1825	16.58	7.15	2018	0.2
2022	2	1	0.2575	17.65	8.05	2018	0.19
2022	2	2	0.1965	16.69	7.21	2018	0.29
2022	2	3	0.153	16.88	6.18	2018	0.26
2022	2	4	0.093	13.37	3.72	2018	0.34
2022	2	5	0.2105	18.73	7.28	2018	0.28
2022	2	6	0.35	23.3	9.5	2018	0.18
2022	2	7	0.28	21.7	8.55	2018	0.26
2022	3	8	0.2205	22	9.6	2018	0.23
2022	3	9	0.2825	21.42	14.05	2018	0.19
2022	3	10	0.1275	15.6	4.15	2018	0.16
2022	3	11	0.087	12.16	2.86	2018	0.08
2022	3	12	0.147	15.4	5.05	2018	0.16
2022	3	13	0.246	18.94	7.92	2018	0.07
2022	3	14	0.193	17.4	9.3	2018	0.14
2011	2	1	0.1335	16.18	7.93	2019	NA
2011	2	2	0.1435	15.01	7.05	2019	NA
2011	2	3	0.181	16.63	7.88	2019	NA
2011	2	4	0.1845	16.03	11.34	2019	NA
2011	2	5	0.2395	17.36	11.98	2019	NA
2011	2	6	0.234	15.76	7.31	2019	NA
2011	3	7	0.1405	13.93	6.75	2019	NA
2011	3	8	0.1405	17.01	6.96	2019	NA
2011	3	9	0.18	15.48	7	2019	NA
2011	3	10	0.179	14.69	11.24	2019	NA
