sample.yr	plot	subplot	Snr	d.msrd	year	direction	radius	wid.e	wid.l	wg	wg.mn	wg.mx	wg.e	wg.l
2024	3	3	2	225.5	2015		0.794							
2024	3	3	2	225.5	2014		0.920							
2024	3	3	2	225.5	2013		0.719							
2024	3	3	2	225.5	2012		0.910							
2024	3	3	2	225.5	2011		0.688							
2024	3	3	2	225.5	2010		0.709							
2024	3	3	2	225.5	2009		0.666							
2024	3	3	2	225.5	2008		0.751							
2024	3	3	2	225.5	2007		0.878							
2024	3	3	2	225.5	2006		1.111							
2024	3	3	2	225.5	2005		1.227							
2024	3	3	2	225.5	2004		1.206							
2024	3	3	2	225.5	2003		0.910							
2024	3	3	2	225.5	2002		1.111							
2024	3	3	2	225.5	2001		1.301							
2024	3	3	3	197.5	2024		0.657							
2024	3	3	3	197.5	2023		0.556							
2024	3	3	3	197.5	2022		0.825							
2024	3	3	3	197.5	2021		0.525							
2024	3	3	3	197.5	2020		0.307							
2024	3	3	3	197.5	2019		0.459							
2024	3	3	3	197.5	2018		0.317							
2024	3	3	3	197.5	2017		0.593							
2024	3	3	3	197.5	2016		0.593							
2024	3	3	3	197.5	2015		0.740							
2024	3	3	3	197.5	2014		0.424							
2024	3	3	3	197.5	2013		0.360							
2024	3	3	3	197.5	2012		0.465							
2024	3	3	3	197.5	2011		0.669							
2024	3	3	3	197.5	2010		0.495							
2024	3	3	3	197.5	2009		0.465							
2024	3	3	3	197.5	2008		0.444							
2024	3	3	3	197.5	2007		0.635							
2024	3	3	3	197.5	2006		0.571							
2024	3	3	3	197.5	2005		0.931							
2024	3	3	3	197.5	2004		1.037							
2024	3	3	3	197.5	2003		0.592							
2024	3	3	3	197.5	2002		0.635							
2024	3	3	3	197.5	2001		0.825							
2024	3	3	4	290.5	2024		0.392							
2024	3	3	4	290.5	2023		0.329							
2024	3	3	4	290.5	2022		0.349							
2024	3	3	4	290.5	2021		0.372							
2024	3	3	4	290.5	2020		0.255							
2024	3	3	4	290.5	2019		0.402							
2024	3	3	4	290.5	2018		0.339							
2024	3	3	4	290.5	2017		0.467							
2024	3	3	4	290.5	2016		0.541							
2024	3	3	4	290.5	2015		0.381							
2024	3	3	4	290.5	2014		0.360							
2024	3	3	4	290.5	2013		0.382							
2024	3	3	4	290.5	2012		0.551							
2024	3	3	4	290.5	2011		0.577							
2024	3	3	4	290.5	2010		0.529							
2024	3	3	4	290.5	2009		0.402							
2024	3	3	4	290.5	2008		0.508							
2024	3	3	4	290.5	2007		0.635							
2024	3	3	4	290.5	2006		0.762							
2024	3	3	4	290.5	2005		0.931							
2024	3	3	4	290.5	2004		1.206							
2024	3	3	4	290.5	2003		1.397							
2024	3	3	4	290.5	2002		1.122							
2024	3	3	4	290.5	2001		0.974							
2024	3	3	5	242.5	2024		1.357							
2024	3	3	5	242.5	2023		0.939							
2024	3	3	5	242.5	2022		1.185							
2024	3	3	5	242.5	2021		0.741							
2024	3	3	5	242.5	2020		0.677							
2024	3	3	5	242.5	2019		0.783							
2024	3	3	5	242.5	2018		0.698							
2024	3	3	5	242.5	2017		0.826							
2024	3	3	5	242.5	2016		0.974							
2024	3	3	5	242.5	2015		1.037							
2024	3	3	5	242.5	2014		1.101							
2024	3	3	5	242.5	2013		0.931							
2024	3	3	5	242.5	2012		1.334							
2024	3	3	5	242.5	2011		1.755							
2024	3	3	5	242.5	2010		1.525							
2024	3	3	5	242.5	2009		1.102							
2024	3	3	5	242.5	2008		0.952							
2024	3	3	5	242.5	2007		0.995							
2024	3	3	5	242.5	2006		1.080							
2024	3	3	5	242.5	2005		1.270							
2024	3	3	5	242.5	2004		1.333							
2024	3	3	5	242.5	2003		0.868							
2024	3	3	5	242.5	2002		0.847							
2024	3	3	5	242.5	2001		1.188							
2024	3	4	5	167.5	2024		0.327							
2024	3	4	5	167.5	2023		0.369							
2024	3	4	5	167.5	2022		0.464							
2024	3	4	5	167.5	2021		0.443							
2024	3	4	5	167.5	2020		0.318							
2024	3	4	5	167.5	2019		0.381							
2024	3	4	5	167.5	2018		0.303							
2024	3	4	5	167.5	2017		0.405							
2024	3	4	5	167.5	2016		0.464							
2024	3	4	5	167.5	2015		0.614							
2024	3	4	5	167.5	2014		0.472							
2024	3	4	5	167.5	2013		0.429							
2024	3	4	5	167.5	2012		0.560							
2024	3	4	5	167.5	2011		0.543							
2024	3	4	5	167.5	2010		0.459							
2024	3	4	5	167.5	2009		0.477							
2024	3	4	5	167.5	2008		0.541							
2024	3	4	5	167.5	2007		0.499							
2024	3	4	5	167.5	2006		0.605							
2024	3	4	5	167.5	2005		0.712							
2024	3	4	5	167.5	2004		0.804							
2024	3	4	5	167.5	2003		0.559							
2024	3	4	5	167.5	2002		0.617							
2024	3	4	5	167.5	2001		0.549							
2024	3	4	4	261.0	2024		0.677							
2024	3	4	4	261.0	2023		0.640							
2024	3	4	4	261.0	2022		0.885							
2024	3	4	4	261.0	2021		0.825							
2024	3	4	4	261.0	2020		0.741							
2024	3	4	4	261.0	2019		0.640							
2024	3	4	4	261.0	2018		0.588							
2024	3	4	4	261.0	2017		0.830							
2024	3	4	4	261.0	2016		0.995							
2024	3	4	4	261.0	2015		0.804							
2024	3	4	4	261.0	2014		0.995							
2024	3	4	4	261.0	2013		0.783							
2024	3	4	4	261.0	2012		1.080							
2024	3	4	4	261.0	2011		1.101							
2024	3	4	4	261.0	2010		0.974							
2024	3	4	4	261.0	2009		0.847							
2024	3	4	4	261.0	2008		0.783							
2024	3	4	4	261.0	2007		0.804							
2024	3	4	4	261.0	2006		1.143							
2024	3	4	4	261.0	2005		1.418							
2024	3	4	4	261.0	2004		1.605							
2024	3	4	4	261.0	2003		1.016							
2024	3	4	4	261.0	2002		1.672							
2024	3	4	4	261.0	2001		0.004							
2024	3	4	3	190.5	2024		1.038							
2024	3	4	3	190.5	2023		1.058							
2024	3	4	3	190.5	2022		0.741							
2024	3	4	3	190.5	2021		1.037							
2024	3	4	3	190.5	2020		0.910							
2024	3	4	3	190.5	2019		1.164							
2024	3	4	3	190.5	2018		1.207							
2024	3	4	3	190.5	2017		1.249							
2024	3	4	3	190.5	2016		1.185							
2024	3	4	3	190.5	2015		1.270							
2024	3	4	3	190.5	2014		1.101							
2024	3	4	3	190.5	2013		0.825							
2024	3	4	3	190.5	2012		0.931							
