plot	Snr	d.underbark	variable	value	year
2	1	0.106937	X2007	0.393	2007
2	2	0.2202	X2007	1.846	2007
2	3	0.159074	X2007	2.734	2007
2	4	0.186491	X2007	2.285	2007
2	5	0.218403	X2007	2.426	2007
2	6	0.193233	X2007	0.829	2007
2	7	0.125814	X2007	1.149	2007
2	8	0.209863	X2007	1.863	2007
2	9	0.141096	X2007	1.399	2007
2	10	0.226043	X2007	0.987	2007
2	11	0.155928	X2007	2.033	2007
2	12	0.193682	X2007	2.628	2007
2	13	0.166266	X2007	1.102	2007
2	14	0.110982	X2007	1	2007
2	15	0.20402	X2007	1.523	2007
2	16	0.226942	X2007	0.977	2007
2	17	0.194581	X2007	1.187	2007
2	18	0.15413	X2007	0.798	2007
3	19	0.0966	X2007	0.423	2007
3	20	0.161322	X2007	0.509	2007
3	21	0.213459	X2007	0.677	2007
3	22	0.194132	X2007	1.126	2007
3	23	0.191435	X2007	0.579	2007
3	24	0.255258	X2007	0.734	2007
3	25	0.161771	X2007	0.388	2007
3	26	0.130758	X2007	0.498	2007
3	27	0.223796	X2007	1.243	2007
3	28	0.186042	X2007	1.187	2007
3	29	0.232785	X2007	0.971	2007
3	30	0.181098	X2007	0.437	2007
3	31	0.213009	X2007	0.641	2007
3	32	0.127163	X2007	0.665	2007
3	33	0.163569	X2007	0.55	2007
3	34	0.215256	X2007	0.837	2007
3	35	0.17076	X2007	0.506	2007
3	36	0.180199	X2007	0.976	2007
2	1	0.106937	X2006	0.373	2006
2	2	0.2202	X2006	1.457	2006
2	3	0.159074	X2006	1.78	2006
2	4	0.186491	X2006	1.778	2006
2	5	0.218403	X2006	2.299	2006
2	6	0.193233	X2006	1.035	2006
2	7	0.125814	X2006	0.89	2006
2	8	0.209863	X2006	1.735	2006
2	9	0.141096	X2006	1.06	2006
2	10	0.226043	X2006	1.227	2006
2	11	0.155928	X2006	1.654	2006
2	12	0.193682	X2006	2.755	2006
2	13	0.166266	X2006	0.678	2006
2	14	0.110982	X2006	1.122	2006
2	15	0.20402	X2006	1.074	2006
2	16	0.226942	X2006	0.89	2006
2	17	0.194581	X2006	1.299	2006
2	18	0.15413	X2006	0.725	2006
3	19	0.0966	X2006	0.472	2006
3	20	0.161322	X2006	0.773	2006
3	21	0.213459	X2006	0.932	2006
3	22	0.194132	X2006	1.076	2006
3	23	0.191435	X2006	0.862	2006
3	24	0.255258	X2006	0.72	2006
3	25	0.161771	X2006	0.65	2006
3	26	0.130758	X2006	0.434	2006
3	27	0.223796	X2006	1.355	2006
3	28	0.186042	X2006	1.399	2006
3	29	0.232785	X2006	1.055	2006
3	30	0.181098	X2006	0.569	2006
3	31	0.213009	X2006	0.787	2006
3	32	0.127163	X2006	0.865	2006
3	33	0.163569	X2006	0.792	2006
3	34	0.215256	X2006	0.985	2006
3	35	0.17076	X2006	0.739	2006
3	36	0.180199	X2006	0.798	2006
2	1	0.106937	X2005	0.369	2005
2	2	0.2202	X2005	1.131	2005
2	3	0.159074	X2005	1.101	2005
2	4	0.186491	X2005	1.605	2005
2	5	0.218403	X2005	0.842	2005
2	6	0.193233	X2005	1.19	2005
2	7	0.125814	X2005	0.72	2005
2	8	0.209863	X2005	1.247	2005
2	9	0.141096	X2005	0.848	2005
2	10	0.226043	X2005	1.227	2005
2	11	0.155928	X2005	1.034	2005
2	12	0.193682	X2005	1.907	2005
2	13	0.166266	X2005	0.889	2005
2	14	0.110982	X2005	1.067	2005
2	15	0.20402	X2005	0.865	2005
2	16	0.226942	X2005	0.847	2005
2	17	0.194581	X2005	1.051	2005
2	18	0.15413	X2005	0.647	2005
3	19	0.0966	X2005	0.544	2005
3	20	0.161322	X2005	0.678	2005
3	21	0.213459	X2005	0.974	2005
3	22	0.194132	X2005	1.269	2005
3	23	0.191435	X2005	0.749	2005
3	24	0.255258	X2005	0.976	2005
3	25	0.161771	X2005	0.487	2005
3	26	0.130758	X2005	0.476	2005
3	27	0.223796	X2005	1.566	2005
3	28	0.186042	X2005	1.229	2005
3	29	0.232785	X2005	1.123	2005
3	30	0.181098	X2005	0.672	2005
3	31	0.213009	X2005	0.847	2005
