Snr	sampling_yr	disk	date	time	path	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
5	2011	1.3	2012-05-14	14:23:41	2	0.032	0.603	1.237	1.839	1.713	0.921	3.588	3.112	3.905	3.016	4.758	4.508	3.904	2.342	2.648	2.017	1.611	1.958	1.863	2.049	1.96	1.71	1.396	2.061	1.714	1.429	2	1.905	2.032	1.175	0.917	0.856	0.952	0.92	1.11	0.857	1.46	1.904	1.457	1.173	1.618	1.682	1.206	1.302	1.175	1.142	1.524	1.524	1.46	1.712	1.682	1.453	1.386	1.045	1.523	1.679	2.316	1.936	1.587	0.159											
5	2011	1.3	2012-05-14	14:23:41	3	0.032	0.507	1.08	2.22	1.683	1.015	3.363	3.079	3.746	2.404	3.25	3.565	3.511	2.41	2.381	2	1.841	1.873	1.808	1.744	1.934	1.682	1.873	1.81	1.174	1.237	1.302	1.27	1.204	1.269	0.793	0.603	0.698	0.825	0.952	0.761	1.079	1.268	1.553	1.14	1.299	1.679	1.204	1.33	1.139	1.36	1.297	1.617	1.396	1.3	1.674	1.447	1.042	1.044	1.266	1.39	2.144	2.175	2.127	0.254											
5	2011	1.3	2012-05-14	14:23:41	4	0.032	0.445	1.048	2.111	1.318	1.079	3.175	3.143	3.424	2.443	4.185	4.562	3.859	2.569	2.695	2.409	2.159	1.778	2.232	2.112	2.233	1.506	1.644	1.421	1.164	1.069	1.485	1.491	1.544	1.199	0.603	0.697	0.762	0.918	0.984	0.857	1.237	1.395	1.585	1.518	1.774	1.899	1.965	1.871	1.737	1.832	2.328	2.158	2.093	2.277	2.059	1.803	1.513	1.543	1.668	2.231	2.259	1.945	1.734	0.379											
5	2011	2	2012-05-14	14:07:45	1	0.13	1.802	1.841	2.442	3.617	3.554	3.474	3	2.92	3.397	2.189	2.094	1.839	1.331	1.614	1.551	1.554	1.331	1.015	1.483	1.49	1.864	1.198	1.287	1.418	1.418	1.481	1.199	1.358	1.231	1.421	1.295	1.452	1.704	1.554	1.718	1.235	1.508	2.222	1.93	1.844	2.071	0.282																												
5	2011	2	2012-05-14	14:07:45	2	0.063	1.739	1.778	2.215	3.836	3.986	4.304	2.654	2.695	4.439	2.851	2.786	3.385	2.774	2.68	2.509	2.09	1.809	1.668	2.101	2.107	2.353	2.523	2.755	2.716	2.797	2.249	1.79	2.045	1.844	2.081	2.046	3.016	2.173	2.213	1.852	1.828	1.702	2.774	2.502	2.286	2.953	1.235																												
5	2011	2	2012-05-14	14:07:45	3	0.045	1.226	2.442	2.602	4.091	4.123	4.06	2.823	2.947	3.923	3.026	2.842	2.779	2.495	2.486	2.277	1.975	1.851	1.438	1.91	2.213	2.224	1.716	1.589	2.222	2.22	1.751	1.538	2.001	1.721	2.152	1.918	1.768	1.958	1.8	1.761	1.509	1.349	2.158	2.127	1.81	2.032	0.794																												
5	2011	2	2012-05-14	14:07:45	4	0.071	1.549	1.934	2.125	3.683	3.616	3.573	2.667	2.214	3.265	2.159	2.125	1.427	1.554	1.55	1.726	1.94	1.659	1.321	1.671	1.639	1.797	1.708	1.93	1.824	2.202	1.571	1.569	1.6	1.555	1.835	2.162	2.171	1.901	1.897	1.642	1.198	1.293	2.112	1.86	1.667	1.645	0.474																												
6	2011	1.3	2012-05-14	14:49:26	1	0.035	0.914	0.983	1.823	1.852	0.03	2.575	3.006	3.363	2.717	2.474	2.794	1.699	2.509	2.365	2.116	2.27	2.317	2.476	2.397	2.079	2.381	2.54	2.473	2.315	2.441	2.029	1.585	1.712	1.935	1.523	1.556	1.238	0.856	0.793	0.888	1.301	1.015	0.983	1.047	1.333	1.143	1.079	1.016	1.238	0.889	0.857	1.14	1.172	1.612	1.923	1.986	2.829	2.437	2.382	1.989	1.737	2.062	3.542	3.258	3.333	3.238	0.109								
6	2011	1.3	2012-05-14	14:49:26	2	0.016	0.775	0.839	2.426	2.111	0.238	0.144	0.299	4.145	6.3	2.359	2.55	2.235	2.973	2.425	1.862	1.952	2.037	2.407	2.16	1.859	1.898	2.138	1.827	1.345	1.173	1.29	0.855	0.887	1.107	1.014	0.888	0.73	0.633	0.569	0.664	0.538	0.601	0.317	0.602	0.602	0.538	0.552	0.458	0.537	0.599	0.536	0.758	0.789	0.946	0.977	1.166	1.698	1.38	1.663	1.286	1.38	1.761	2.249	2.358	2.463	2.337	0.188								
6	2011	1.3	2012-05-14	14:49:26	3	0.031	0.855	1.015	1.619	2	4.091	3.9	2.603	2.284	2.443	1.84	2.855	2.028	2.63	3.365	2.976	2.689	2.435	3.036	2.658	2.849	3.072	2.843	2.49	2.071	2.076	2.017	1.356	1.073	1.394	1.364	1.236	1.172	0.696	0.633	1.077	0.822	1.012	1.074	1.101	1.261	1.168	1.105	1.042	0.977	1.292	1.135	1.067	1.101	1.321	1.416	1.287	2.222	1.65	1.587	1.429	1.079	1.394	2.172	2.283	2.254	2.397	0.38								
6	2011	1.3	2012-05-14	14:49:26	4	0.031	0.699	0.953	2.127	1.746	0.73	1.397	0.381	0.482	0.822	0.725	1.277	0.868	3.099	2.019	1.956	1.698	2.199	2.479	1.857	2.162	2.47	2.573	2.332	1.832	2.231	1.915	1.384	1.363	1.487	1.402	1.282	1.034	0.817	0.66	1.101	0.913	0.787	0.912	0.874	1.529	1.04	0.915	0.866	0.838	0.57	0.697	0.918	1.012	1.201	1.29	1.547	1.802	1.515	1.699	1.425	1.045	1.709	2.433	2.241	2.349	0.777									
6	2011	3	2012-05-14	15:13:35	1	0.063	2.151	1.823	2.862	3.451	3.397	3.839	3.728	3.314	3.506	2.831	2.509	2.086	1.51	2.206	1.774	1.8	2.077	1.682	1.677	1.742	1.8	1.8	2.021	1.934	2.436	1.937	2.4	2.413	2.784	2.059	1.365	1.365	2.618	2.768	2.469	2.87	0.254																																	
6	2011	3	2012-05-14	15:13:35	2	0.081	1.704	1.967	2.443	2.829	3.078	2.997	1.904	1.793	2.693	2.316	2.285	1.961	1.649	2.522	2.238	1.961	1.898	1.868	1.679	1.641	1.412	1.698	2.004	2.174	1.618	1.585	1.901	2.199	2.294	2.116	1.315	1.905	3.062	2.682	2.524	2.871	0.269																																	
6	2011	3	2012-05-14	15:13:35	3	0.095	2.192	1.504	2.491	3.174	4.009	4.002	2.4	2.186	2.633	2.416	2.23	1.882	1.729	2.501	2.285	1.866	1.807	1.554	1.84	1.936	1.57	1.666	1.878	1.764	1.82	2.155	1.998	1.882	2.826	2.222	1.522	1.523	2.919	2.474	2.537	2.506	0.19																																	
6	2011	3	2012-05-14	15:13:35	4	0.111	2.016	0.85	0.424	0.48	1.397	3.274	2.725	3.262	2.815	1.999	2.222	1.73	1.521	2.283	2.349	1.682	1.967	1.776	1.428	1.551	1.665	1.569	1.74	1.819	1.945	1.829	2.057	2.131	2.564	2.054	1.695	1.772	3.282	3.044	3.139	3.585	0.063																																	
7	2011	1.3	2012-05-14	15:27:29	1	0.044	1.211	0.871	0.586	0.935	1.092	2.39	2.408	1.552	3.864	2.729	2.027	2.053	1.952	2.349	1.905	1.365	1.523	1.608	2.008	1.884	1.805	1.489	1.11	1.236	1.394	1.107	1.076	0.95	0.857	0.698	0.667	0.841	0.889	0.746	0.793	0.793	0.857	0.825	1.238	1.619	1.619	1.459	1.015	0.952	0.984	1.048	1.048	1.143	1.016	1.207	1.079	1.111	1.143	0.889	0.921	1.238	1.428	0.063												
7	2011	1.3	2012-05-14	15:27:29	2	0.097	0.318	0.932	0.805	0.849	0.855	1.629	2.357	1.444	2.588	2.413	2.147	1.835	1.423	1.423	1.173	0.667	0.889	1.142	1.683	1.198	0.663	0.79	0.538	0.729	0.887	0.856	0.73	0.603	0.54	0.539	0.539	0.38	0.571	0.538	0.633	0.57	0.539	0.476	0.791	1.456	1.077	0.95	0.665	0.538	0.728	0.569	0.791	0.889	0.889	0.984	1.111	0.889	1.143	0.888	0.951	1.268	1.11	0.254												
7	2011	1.3	2012-05-14	15:27:29	3	0.049	0.939	0.775	0.896	0.93	0.758	1.603	2.253	1.694	3.379	2.38	1.444	1.268	1.331	1.555	1.582	1.467	1.215	1.42	1.419	1.009	1.484	1.388	1.056	0.913	1.213	1.137	1.009	0.788	0.41	0.457	0.489	0.599	0.631	0.726	0.853	0.632	0.569	0.474	0.6	1.166	0.884	0.821	0.728	0.57	0.949	0.919	1.015	1.046	1.016	0.984	1.048	0.698	0.762	0.762	0.001	1.048	0.825	0.127												
7	2011	1.3	2012-05-14	15:27:29	4	0.016	0.683	0.571	0.935	0.791	0.979	1.875	2.35	1.607	3.37	2.58	1.945	1.497	1.651	2.353	1.549	0.904	1.097	1.484	1.195	1.321	0.314	0.501	0.626	0.808	1.129	1.102	1.102	1.203	1.076	0.805	0.715	0.715	0.746	0.598	0.901	0.774	0.492	0.645	0.801	1.358	1.092	1.154	0.78	0.563	0.782	0.845	0.939	1.032	0.625	0.873	1.045	1.045	0.929	0.71	0.922	0.994	0.77	0.031												
7	2011	3	2012-05-14	15:36:32	1	0.079	1.529	1.301	2.163	1.853	1.774	1.586	1.825	1.412	1.635	1.254	1.27	1.459	0.983	1.014	0.92	2.094	2.349	2	1.492	1.143	0.952	1.111	1.079	1.11	1.27	1.27	1.46	1.269	1.046	1.11	1.109	1.139	1.107	1.18	0.063																																			
7	2011	3	2012-05-14	15:36:32	2	0.061	1.888	1.04	2.362	2.061	1.752	1.315	1.506	1.651	1.644	0.934	0.995	1.139	0.919	1.093	1.393	3.184	2.602	2.094	1.27	1.173	0.968	0.984	0.936	0.888	1.016	1.444	1.222	1.078	0.73	0.762	0.825	0.793	0.778	0.682	0.254																																			
7	2011	3	2012-05-14	15:36:32	3	0.016	1.127	1.519	2.127	1.905	1.679	1.394	1.332	1.475	1.427	1.157	1.111	1.206	0.983	1.11	1.141	2.779	2.473	1.974	1.344	1.175	0.889	1.048	1.048	1.079	1.333	1.175	1.556	1.365	1.111	1.27	1.175	1.143	1.207	1.27	0.19																																			
7	2011	3	2012-05-14	15:36:32	4	0.03	1.759	1.307	2.324	2.144	1.82	1.396	1.682	1.461	1.677	1.016	1.047	1.333	0.952	1.079	1.238	2.286	2.095	2.127	1.651	1.143	1.111	1.111	1.207	1.016	1.175	1.333	1.523	1.143	0.984	1.016	0.857	0.857	0.857	1.189	0.079																																			
8	2011	1.3	2012-05-14	15:50:55	1	0.064	1.095	0.651	0.806	1.154	1.316	0.809	0.794	1.297	1.014	1.33	1.215	1.35	1.934	1.254	1.238	1.159	0.826	0.888	0.95	1.074	0.917	0.917	1.012	0.728	0.916	0.979	0.916	0.853	0.789	0.536	0.696	0.886	0.947	1.078	0.952	0.92	0.983	1.015	0.983	1.714	1.905	2.063	1.905	1.682	0.952	1.016	0.887	0.822	1.137	1.296	0.979	1.363	0.95	0.886	0.981	0.917	0.66	0.928	0.068											
