plot	repID	d.cm	RingCount	PathLength	variable	value	radius	year
F	2	18.5	58	53.1488	X1995	0.339	0.339	1995
F	2	28	49	61.2615	X1995	0.551	0.551	1995
F	3	16.7	68	69.5974	X1995	0.656	0.656	1995
F	3	20.2	50	64.7459	X1995	0.444	0.444	1995
F	3	25.5	51	78.7512	X1995	0.856	0.856	1995
N	3	19	49	55.0077	X1995	0.776	0.776	1995
N	35	11.1	57	46.5744	X1995	0.78	0.78	1995
N	110	35	141	75.2227	X1995	0.32	0.32	1995
S	40	12.7	48	35.4506	X1995	0.55	0.55	1995
S	46	14.6	56	52.6239	X1995	0.579	0.579	1995
S	80	25.5	61	59.3595	X1995	0.612	0.612	1995
S	82	26.1	48	47.6494	X1995	0.635	0.635	1995
W	1	12.3	70	48.3875	X1995	0.401	0.401	1995
W	2	14.5	58	48.1658	X1995	0.464	0.464	1995
W	3	25.5	45	67.6176	X1995	1.118	1.118	1995
C	1	14	55	40.692	X1996	1.631	1.631	1996
C	1	20.7	51	54.9881	X1996	1.596	1.596	1996
C	1	27.2	55	83.3176	X1996	2.021	2.021	1996
C	2	10.6	54	38.1425	X1996	1.463	1.463	1996
C	2	14.7	56	51.6265	X1996	1.566	1.566	1996
C	2	25.7	58	65.2647	X1996	1.626	1.626	1996
C	3	14	58	44.6249	X1996	1.099	1.099	1996
C	3	23.5	49	66.7462	X1996	1.541	1.541	1996
C	3	25.5	55	67.2356	X1996	1.353	1.353	1996
C	57	18.1	55	42.9563	X1996	0.381	0.381	1996
E	54	17.2	58	63.5423	X1996	0.575	0.575	1996
E	56	17.8	60	56.3447	X1996	0.36	0.36	1996
E	80	25.5	37	60.8427	X1996	0.909	0.909	1996
E	82	26.1	47	65.3303	X1996	0.55	0.55	1996
E	88	28	49	60.0893	X1996	0.668	0.668	1996
F	1	12.3	64	45.7905	X1996	0.182	0.182	1996
F	1	18.2	50	65.5565	X1996	0.555	0.555	1996
F	1	30.3	34	79.375	X1996	0.952	0.952	1996
F	2	16	55	47.6059	X1996	0.208	0.208	1996
F	2	18.5	58	53.1488	X1996	0.36	0.36	1996
F	2	28	49	61.2615	X1996	0.378	0.378	1996
F	3	16.7	68	69.5974	X1996	0.783	0.783	1996
F	3	20.2	50	64.7459	X1996	0.557	0.557	1996
F	3	25.5	51	78.7512	X1996	0.743	0.743	1996
N	3	19	49	55.0077	X1996	1.048	1.048	1996
N	35	11.1	57	46.5744	X1996	0.474	0.474	1996
N	110	35	141	75.2227	X1996	0.253	0.253	1996
S	40	12.7	48	35.4506	X1996	0.571	0.571	1996
S	46	14.6	56	52.6239	X1996	0.53	0.53	1996
S	80	25.5	61	59.3595	X1996	0.591	0.591	1996
S	82	26.1	48	47.6494	X1996	0.496	0.496	1996
W	1	12.3	70	48.3875	X1996	0.296	0.296	1996
W	2	14.5	58	48.1658	X1996	0.354	0.354	1996
W	3	25.5	45	67.6176	X1996	1.007	1.007	1996
C	1	14	55	40.692	X1997	1.301	1.301	1997
C	1	20.7	51	54.9881	X1997	1.62	1.62	1997
C	1	27.2	55	83.3176	X1997	1.878	1.878	1997
C	2	10.6	54	38.1425	X1997	1.259	1.259	1997
C	2	14.7	56	51.6265	X1997	1.482	1.482	1997
