TreeName	RingCount	PathLength	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938
06_04	84	156.3412	2.328	2.285	1.885	2.222	2.794	2.874	2.875	3.054	2.814	2.726	3.784	4.277	4.144	3.723	3.279	1.501	1.863	2.582	2.834	3.441	3.61	2.222	1.609	1.431	1.109	0.98	0.967	0.959	1.253	1.556	1.482	1.537	2.104	1.229	1.236	1.212	1.424	1.249	1.122	1.231	1.176	1.17	1.546	1.819	1.523	1.567	1.684	1.894	1.968	1.418	1.291	1.185	0.847	0.995	0.698	1.228	1.122	1.291	1.439	1.566	1.207	1.334	1.058	1.418	1.672	1.418	1.609	1.778	1.905	1.926	1.588	1.609	1.503	1.376	1.101	2.286	1.799	1.82	2.223	2.625	2.839	1.902	1.75	0.134	
07_01	78	121.7737	1.735	1.526	1.08	1.693	1.736	1.799	2.582	2.455	2.773	2.352	2.749	3.178	3.257	2.519	2.582	2.053	1.249	1.778	2.18	2.159	2.519	1.46	1.545	1.418	0.961	1.071	0.593	0.876	1.219	0.856	0.816	0.771	0.783	0.816	0.572	0.497	0.837	0.656	0.497	0.752	0.72	0.783	0.964	1.195	1.08	0.698	1.312	1.091	1.228	1.503	1.61	1.511	1.588	1.714	1.736	1.842	1.799	1.863	1.524	1.439	1.291	1.207	1.566	1.689	1.756	1.736	1.846	2.159	2.35	2.709	2.371	1.545	1.545	1.291	0.974	2.244	2.307	0.423							
07_02	83	129.2720	1.428	1.164	0.953	1.27	1.545	1.609	2.286	2.222	2.096	2.032	2.565	3.086	3.323	3.313	2.572	2.392	1.63	1.164	1.884	1.63	1.969	1.367	1.194	1.312	1.016	1.122	0.78	0.966	1.155	0.953	0.974	0.995	0.913	0.526	0.799	0.534	0.741	0.487	0.466	0.593	0.783	0.804	0.91	1.058	0.847	1.164	1.503	1.249	1.566	1.482	1.503	1.439	1.63	1.482	1.609	1.757	1.609	1.545	1.482	1.503	1.291	1.08	0.974	1.651	1.715	1.714	1.927	2.117	2.201	2.286	2.074	1.566	1.63	1.587	1.442	2.537	2.925	2.773	2.102	1.836	1.343	2.546	0.466		
07_03	78	123.6339	2.214	1.701	1.397	1.987	1.696	2.235	2.761	2.498	2.604	1.772	2.488	2.84	2.764	2.54	2.439	2.218	1.509	1.899	2.148	2.382	2.518	1.631	1.461	1.312	0.849	0.858	0.792	0.995	1.27	0.868	0.656	0.826	0.774	0.666	0.687	0.561	0.741	0.487	0.58	0.606	0.635	0.826	1.037	1.101	1.016	0.974	1.08	1.164	1.224	1.386	1.56	1.751	1.651	1.805	2.117	1.778	1.524	1.587	1.672	1.439	1.334	1.164	1.249	1.524	1.82	1.841	2.138	2.117	2.519	2.476	2.392	1.418	1.545	1.206	0.931	2.011	2.498	2.328							
07_04	78	112.8244	1.469	1.267	1.185	1.566	1.968	1.86	2.247	2.511	2.421	1.926	2.921	3.175	2.286	1.497	1.693	1.291	1.086	1.228	1.578	1.767	2.265	1.503	1.355	1.164	0.847	0.952	0.847	0.762	1.164	0.804	0.91	0.614	0.677	0.56	0.583	0.656	0.677	0.677	0.656	0.677	0.804	1.143	1.058	1.333	0.995	1.228	1.757	1.418	1.228	1.333	1.206	1.122	1.185	1.207	1.355	1.461	1.524	1.439	1.566	1.291	1.101	1.016	1.164	1.397	1.482	1.82	2.032	2.138	2.222	2.519	2.18	1.63	2.159	2.074	1.397	2.476	2.117	0.191							
08_01	68	103.5394	1.487	1.101	0.783	1.131	1.367	1.291	1.46	1.438	1.955	1.898	1.797	1.854	1.727	1.397	1.376	1.003	1.312	1.495	1.545	1.503	2.159	1.333	1.164	1.309	1.442	1.969	1.736	1.947	2.311	2.092	1.122	1.358	1.59	1.285	0.91	1.08	1.461	1.312	1.206	1.058	1.545	2.117	1.863	1.99	1.346	1.257	1.799	1.778	1.27	1.842	1.884	1.672	1.609	1.461	1.778	1.439	1.228	1.101	1.397	1.418	1.376	1.778	1.312	1.585	1.931	1.977	1.258	0.931																	
08_02	66	93.1080	1.554	1.247	0.699	1.016	1.291	0.804	0.889	0.974	1.352	1.166	1.249	1.27	1.482	1.333	1.291	1.27	1.588	1.854	1.821	1.489	1.778	1.153	1.557	1.505	1.565	2.138	1.884	2.222	2.714	2.721	1.762	1.482	1.884	1.185	0.974	1.037	0.974	0.783	0.741	0.699	1.037	1.016	1.207	1.019	0.982	1.127	1.528	1.418	1.482	1.82	1.566	1.355	1.058	0.91	1.206	1.249	1.715	1.693	1.651	1.564	1.441	1.884	1.397	1.49	2.109	0.847																			
08_03	68	103.0759	1.706	1.077	0.741	0.995	0.931	1.037	1.185	1.016	1.321	1.198	1.333	1.312	1.333	1.355	1.109	1.22	1.319	1.491	1.782	1.67	2	1.429	1.782	1.905	1.672	2.086	2.194	2.285	2.599	2.208	1.308	1.46	1.576	1.282	0.995	0.958	1.286	1.249	0.953	0.889	1.312	1.228	1.736	1.545	1.336	1.48	1.842	2.244	2.053	1.842	1.545	1.588	1.714	1.672	1.736	1.609	1.27	1.206	1.164	1.969	1.76	2.225	1.728	1.851	2.013	1.648	0.591	0.524																	
08_04	68	95.8134	1.691	1.161	0.638	1.101	1.122	1.159	1.191	1.315	1.479	1.164	1.29	1.47	1.537	1.306	1.234	1.249	1.263	1.362	1.185	1.101	1.334	1.058	1.652	1.927	1.628	1.671	2.52	2.687	2.496	3.298	2.124	1.376	1.969	0.91	0.868	1.524	1.482	0.889	1.079	0.783	1.228	1.08	1.524	1.198	1.13	1.079	1.185	1.291	1.355	1.312	1.164	1.122	1.122	1.037	1.312	1.185	1.229	1.332	1.545	1.82	1.609	1.947	1.228	1.508	1.674	1.636	1.122	0.432																	
09_01	64	128.3545	1.755	1.082	0.717	1.439	1.355	1.058	1.122	1.037	1.037	1.149	1.611	1.558	1.545	1.347	1.701	1.519	1.925	1.695	1.762	1.524	1.502	2.033	2.371	2.077	2.326	3.408	3.429	2.477	3.888	2.674	1.63	2.032	2.413	2.201	1.693	1.949	2.14	1.604	1.778	1.969	2.232	1.768	2.244	2.561	2.09	2.292	3.006	2.371	2.095	2.373	2.226	1.841	1.904	1.654	2.174	2.043	2.603	2.882	3.239	2.605	2.374	2.497	1.188	1.651																					
09_02	65	124.4445	1.651	1.249	0.783	1.27	1.185	1.122	1.143	1.08	1.101	1.249	1.482	1.587	1.418	1.27	1.524	1.355	1.524	1.503	1.5	1.421	2.011	1.968	1.905	1.503	2.011	2.349	2.223	2.631	3.681	2.718	1.45	1.826	2.172	2.096	1.621	1.931	2.53	1.955	2.186	1.926	1.969	1.714	2.138	2.407	1.996	2.138	2.561	2.299	2.425	2.248	2.019	1.783	2.138	1.979	2.339	2.293	2.46	2.846	2.688	2.744	2.154	2.583	1.855	1.755	0.91																				
09_03	71	123.1154	1.438	1.118	0.705	0.931	1.185	0.804	0.87	1.246	1.047	1.353	1.439	1.383	1.098	1.051	1.118	0.992	1.411	1.432	1.504	1.214	1.124	1.932	1.829	2.043	2.424	2.67	2.433	2.738	3.921	2.044	1.782	1.911	1.865	1.677	1.355	1.57	1.961	1.59	1.751	1.498	1.894	1.609	1.676	1.858	1.382	1.524	2.249	2.222	2.096	2.307	1.651	1.249	1.334	1.206	1.842	2.053	1.693	2.503	2.462	2.622	2.108	2.498	2.011	1.905	1.672	1.368	1.743	1.647	1.836	3.311	0.487														
09_04	69	120.4036	1.398	1.058	0.656	1.207	1.121	0.995	1.228	1.269	1.017	0.973	1.524	1.779	1.757	1.566	1.672	1.567	1.926	1.609	1.885	1.206	1.228	2.094	2.098	2.137	1.949	2.286	2.391	2.837	3.704	1.84	1.441	1.861	2.118	1.736	1.545	1.503	1.948	1.862	1.821	1.481	1.97	1.904	1.904	2.18	1.864	1.461	2.353	1.923	1.693	1.694	2.011	1.312	1.145	1.143	1.669	1.461	1.884	2.222	2.435	2.519	2.181	1.926	1.567	1.482	1.714	1.164	1.186	1.397	0.593																
10_01	61	62.1043	0.365	0.19	0.148	0.423	0.318	0.381	0.318	0.318	0.571	0.741	0.529	0.487	0.402	0.444	0.466	0.677	0.677	0.466	0.783	0.423	0.741	0.783	0.974	1.63	1.545	1.795	0.978	0.974	0.423	0.783	0.741	0.635	0.995	1.397	0.847	0.804	0.741	0.741	1.079	1.273	0.985	0.874	0.889	1.143	1.122	1.715	2.307	2.032	1.715	2.011	1.926	2.328	1.397	1.715	2.088	1.968	1.786	0.582	1.386	1.96	0.241																								
