Snr	strata	Brnr	branch.base.diamter.fresh.1	branch.base.diamter.fresh.2	branch.base.diamter.dry.1	branch.base.diamter.dry.2	br.dw.g	db.dw.g	cones 	c0	c1	c2	c3	remaining	base.dw.g	scan.c0	scan.c1	scan.c2	scan.c3	rm.c0	rm.c1	rm.c2	rm.c3
9	4	8	1	1	0.8	0.9	29.896			13.896	10.461	4.646			2.3	0.612	0.506	0.527		1.7	1.6	1.7	
9	5	9	0.6	0.65	0.5	0.5	6.751			4.664	3.976	0.548		0.173	1.2	0.628	0.647	0.713		1.6	1.5	1.2	
9	5	10	0.8	0.8	0.6	0.6	8.216			5.104	2.817	1.227		0.419	1.6	0.712	0.77	0.888		1.8	1.7	1.2	
10	0	0						545															
10	1	1	3.1	3.1	2.8	3.1	556	58.55		13.839	12.425	10.146	1.756	4.684	19.7	0.394	0.412	0.445	0.364	0.9	0.7	0.9	0.4
10	1	2	3.8	3.7	3.3	3.6	1027	73.66		72.94	57.02	37.026	11.978	4.72	27.4	0.413	0.39	0.506	0.415	1.3	0.8	0.6	0.8
10	2	3	3.1	3.05	2.9	2.8	522	17.347		40.39	24.669	17.988	2.591	1.255	13.5	0.331	0.427	0.379	0.429	0.9	0.8	1.2	0.8
10	2	4	2.2	2.1	2.1	2.3	277.5	23.758		37.089	27.13	17.554	2.65	1.322	12.8	0.39	0.365	0.365	0.413	1.2	0.9	1.1	0.6
10	3	5	2.55	2.45	2.3	2.3	351			62.01	41.43	19.951	1.334	1.563	13.5	0.487	0.461	0.401	0.351	1	1	1.4	0.8
10	3	6	2.2	2.3	2.1	2	282.5		27.09	62.26	41.15	27.344	5.01	1.096	8.5	0.519	0.539	0.52	0.438	0.6	0.9	1.1	0.7
10	4	7	1.6	1.35	1.3	1.4	77.07			24.819	16.391	7.463	0.758	1.551	4.8	0.665	0.686	0.53	0.502	1.2	1.2	0.8	0.6
10	4	8	1.5	1.65	1.4	1.4	87.5			33.496	27.073	12.983	0.491	2.748	5.2	0.64	0.834	0.552	0.574	0.9	0.7	0.9	0.4
10	5	9	1.2	1.1	1	1.1	37.663		7.89	14.531	8.234	3.484		0.684	1.7	0.825	0.479	0.732		1.1	1.2	1.1	
10	5	10	1	1.05	1	1.1	25.65		3.257	10.924	6.427	0.655		0.937	1.5	0.578	0.668	0.582		0.9	0.7	0.7	
11	0	0						487.5															
11	1	1	3.15	3.05	3.1	3.2	745			29.673	18.645	13.748	0.522	1.494	15.8	0.257	0.325	0.298	0.286	0.8	0.6	0.6	0.5
11	1	2	1.8	1.9	1.2	1.4	96.07			10.374	6.007	2.188	0.842	0.12	3.8	0.255	0.261	0.363	0.284	0.6	0.4	0.6	0.5
11	2	3	2.1	2.15	1.9	2.1	244.5			28.156	19.24	11.128	2.977	0.642	8.3	0.368	0.293	0.343	0.328	0.5	0.6	0.4	0.4
11	2	4	1.7	1.65	1.5	1.4	128.05			18.448	13.448	6.998	1.834	0.419	4.4	0.281	0.305	0.305	0.27	0.5	0.6	0.7	0.6
11	3	5	2	2.1	1.9	1.9	194.7			41.93	27.029	19.673	5.241	0.83	5.1	0.325	0.341	0.411	0.408	0.3	0.4	0.7	0.6
11	3	6	1.45	1.4	1.2	1.3	86.07			16.124	12.48	9.388	2.29	0.824	2.7	0.327	0.244	0.392	0.326	0.4	0.5	0.3	0.4
11	4	7	1.6	1.7	1.5	1.5	92.01			32.965	22.429	11.012	3.646	0.468	5.2	0.307	0.437	0.323	0.397	0.4	0.5	1	0.6
11	4	8	1.5	1.45	1.3	1.2	64.49		5.607	21.036	13.069	7.957	0.663	0.316	3.4	0.398	0.439	0.439	0.339	1	0.9	0.9	0.7
11	5	9	1	1	0.9	0.9	21.447		6.189	9.118	4.517	1.248		0.119	1.8	0.419	0.514	0.499		0.9	1.1	0.8	
11	5	10	1	1	0.9	1	22.763		5.52	7.691	3.28	1.82		0.062	1.8	0.473	0.345	0.59		0.9	0.9	1.2	
12	0	0						351															
12	1	1	1.9	1.9	1.8	1.9	177.13			2.531	2.109	3.375	0.434	0.229	4.7	0.661	0.358	0.386	0.487	0	0.5	0.7	0.3
12	1	2	1.8	1.85	1.7	1.7	194.87			26.323	17.724	14.264	0.52	0.451	3.8	0.315	0.37	0.476	0.554	0.4	0.5	0.6	0.4
12	2	3	2	2.1	1.8	1.8	231.5			41.09	36.01	21.012	1.361	0.525	5.5	0.444	0.425	0.609	0.472	0.3	0.9	1.1	0.3
12	2	4	2.35	2.3	2.1	2.3	304			30.834	26.259	20.284	3.127	0.816	8	0.507	0.568	0.725	0.35	0	0	0	0
12	3	5	1.7	1.7	1.1	1.1	135.72			36.357	30.152	16.476	5.436	0.618	2.9	0.418	0.656	0.638	0.484	0	0	0	0
12	3	6	1.9	1.9	1.8	1.8	181.04			34.861	30.549	24.841	12.08	0	4.5	0.527	0.484	0.609	0.501	0	0	0	0
12	4	7	1.5	1.45	1.8	1.8	65.68			28.161	19.67	13.58	3.844	0.174	1.4	0.699	1.021	0.997	0.526	0	0	0	0
12	4	8	1.8	1.75	1.6	1.6	115.53		2.086	49.09	30.285	23.087	4.489	0.179	2.9	1.014	0.691	1.018	0.743	0	0	0	0
12	5	9	1.1	1.1	1	1	29.117		3.374	23.315	11.227	5.458		5.33	1.4	0.916	0.656	1.107		0	0	0	
12	5	10	1.3	1.3	1.1	1.2	34.77			25.33	13.62	5.955		0.503	1.6	0.476	0.706	0.783		0	0	0	
