Snr	disk	path	wd	year	rwd
7	3	2	0.919	1990	0.0253363475959418
7	3	3	0.983	1990	0.0252439650744735
7	3	4	0.952	1990	0.0252915703621052
8	4	1	2.635	1995	0.0567166749176693
8	4	2	2.476	1995	0.056359828826368
8	4	3	2.508	1995	0.0526183282980866
8	4	4	2.187	1995	0.0521496530510051
9	3	1	2.846	1995	0.0534640817553351
9	3	2	3.009	1995	0.0536277602523659
9	3	3	2.777	1995	0.054249936509797
9	3	4	3.161	1995	0.0584201966437495
11	3	1	2.19	1983	0.0361995437865715
11	3	2	2.443	1983	0.0394388479917345
11	3	3	2.015	1983	0.0410119677603191
11	3	4	2.49	1983	0.038472829529828
12	3	1	2.316	1987	0.0348401654757428
12	3	2	2.293	1987	0.0366797837284448
12	3	3	2.404	1987	0.0392720619466135
12	3	4	2.014	1987	0.0323502955538422
1	3	1	1.016	1986	0.0336959405677899
1	3	2	1.241	1986	0.0371223451989231
1	3	3	1.315	1986	0.0400755798006887
1	3	4	1.032	1986	0.0341959640809835
2	3	1	0.824	1991	0.0188372996822349
2	3	2	0.921	1991	0.0235785054146079
2	3	3	0.95	1991	0.0255816458423093
2	3	4	0.76	1991	0.0197289860339546
3	3	1	1.045	1988	0.0211162301972195
3	3	2	1.079	1988	0.0218602483842866
3	3	3	1.079	1988	0.0226338311797281
3	3	4	1.174	1988	0.0226851136187973
4	3	1	1.985	1984	0.0410853996771122
4	3	2	1.984	1984	0.0402711809361426
4	3	3	1.698	1984	0.036364415128282
4	3	4	1.769	1984	0.0378306708581938
5	2	1	1.614	1984	0.0366326970652988
5	2	2	2.68	1984	0.0397207689229447
5	2	3	2.486	1984	0.0437961348061237
5	2	4	1.55	1984	0.0305882817279419
6	3	1	2.206	1989	0.0344649803927695
6	3	2	2.522	1989	0.0419403655230905
6	3	3	2.501	1989	0.0414642638062238
6	3	4	2.283	1989	0.0365058044708817
7	3	1	1.014	1991	0.0261941050347446
7	3	2	1.093	1991	0.0301334362593736
7	3	3	1.11	1991	0.0285053929121726
7	3	4	1.079	1991	0.0286655508620919
8	4	1	2.254	1996	0.0485158957360253
8	4	2	2.11	1996	0.0480287717381408
8	4	3	2.111	1996	0.0442891910036925
8	4	4	1.934	1996	0.0461167942389775
9	3	1	2.72	1996	0.0510970844604749
9	3	2	2.756	1996	0.0491186797127021
9	3	3	2.526	1996	0.0493465392955518
9	3	4	3.397	1996	0.0627818437199675
10	2	1	1.871	1983	0.0378929034348671
10	2	2	1.56	1983	0.0319064078702473
10	2	3	1.839	1983	0.0349082211803117
10	2	4	1.394	1983	0.0292476186479795
11	3	1	2.445	1984	0.0404145591589805
11	3	2	2.317	1984	0.0374047526798399
11	3	3	1.809	1984	0.0368191809818448
11	3	4	2.352	1984	0.0363406004233556
12	3	1	1.555	1988	0.0233922527265889
12	3	2	1.916	1988	0.030649134593851
12	3	3	1.768	1988	0.0288822818309537
12	3	4	1.408	1988	0.0226162940118222
1	3	1	0.603	1987	0.0199986733881666
1	3	2	0.947	1987	0.0283278492372121
1	3	3	0.856	1987	0.0260872215280529
1	3	4	0.698	1987	0.0231286656284171
2	3	1	0.889	1992	0.0203232517202752
2	3	2	0.793	1992	0.0203015795806559
2	3	3	0.919	1992	0.0247468763464024
2	3	4	0.76	1992	0.0197289860339546
3	3	1	1.675	1989	0.0338465890720983
3	3	2	1.428	1989	0.0289308940618732
3	3	3	1.524	1989	0.0319684510823964
3	3	4	1.491	1989	0.028810480754367
4	3	1	1.658	1985	0.0343171751459204
4	3	2	1.778	1985	0.0360897982381358
4	3	3	1.536	1985	0.0328950186319441
4	3	4	1.608	1985	0.0343876307179059
5	2	1	1.551	1985	0.0352027962504823
5	2	2	2.509	1985	0.0371863467267419
5	2	3	2.277	1985	0.0401141588710956
5	2	4	1.726	1985	0.0340615317822114
6	3	1	1.774	1990	0.0277157185932789
6	3	2	2.238	1990	0.0372175012056608
6	3	3	2.285	1990	0.0378831838453504
6	3	4	2.349	1990	0.0375611628130097
7	3	1	0.92	1992	0.0237658546666322
7	3	2	1.393	1992	0.038404278782532
7	3	3	1.141	1992	0.029301489470981
7	3	4	1.238	1992	0.0328896681809729
8	4	1	1.651	1997	0.0355367097871241
8	4	2	1.666	1997	0.0379222434671765
8	4	3	2.158	1997	0.0452752601544142
8	4	4	1.317	1997	0.0314042492309893
9	3	1	3.389	1997	0.0636647129546138
9	3	2	3.197	1997	0.0569783813648434
9	3	3	2.815	1997	0.0549922834984079
9	3	4	3.048	1997	0.0563317808826791
10	2	1	1.552	1984	0.0314322747893714
10	2	2	1.556	1984	0.0318245965680159
10	2	3	1.568	1984	0.0297640515555893
10	2	4	1.518	1984	0.0318492719566951
11	3	1	2.508	1985	0.0414559158980462
11	3	2	2.632	1985	0.0424899909595764
11	3	3	2.189	1985	0.0445534478547586
11	3	4	2.571	1985	0.039724355309714
12	3	1	2.445	1989	0.0367807446408424
12	3	2	2.105	1989	0.0336724573695492
12	3	3	2.09	1989	0.0341425164178129
12	3	4	2.335	1989	0.0375064250835261
1	3	1	0.524	1988	0.017378615017246
1	3	2	0.68	1988	0.0203410110679031
1	3	3	0.73	1988	0.022247280041447
1	3	4	0.508	1988	0.0168328970476159
2	3	1	0.952	1993	0.0217634821571451
2	3	2	0.984	1993	0.0251913673485062
2	3	3	0.889	1993	0.0239390348987505
2	3	4	0.825	1993	0.0214163335237007
3	3	1	1.774	1990	0.0358470740381507
3	3	2	1.618	1990	0.0327802427115622
3	3	3	1.492	1990	0.0312971975163618
3	3	4	1.552	1990	0.029989179162158
4	3	1	1.809	1986	0.0374425632321894
4	3	2	1.937	1986	0.0393171761458206
