Snr	strata	age	plot	area.mm2	rn	dw.g
12	3	4	3	590.4772	20	0.1862
12	4	0	3	703.0885	20	0.2047
12	4	1	3	860.9599	20	0.2557
12	4	2	3	803.3228	20	0.2467
12	4	3	3	790.1293	20	0.2578
12	4	4	3	686.496	20	0.2228
12	5	0	3	880.0985	20	0.2330
12	5	1	3	993.1563	20	0.3414
12	5	2	3	1034.1365	20	0.3648
12	5	3	3	552.389	14	0.1880
