Snr	plot	strata	age	Df
6	2	3	0	1435.225221
6	2	3	1	1449.3021
6	2	3	2	501.2316644
6	2	3	3	25.88341474
6	2	4	0	1002.631633
6	2	4	1	894.745497
6	2	4	2	203.9834963
6	2	4	3	2.369929791
6	2	5	0	251.5541871
6	2	5	1	187.2890537
6	2	5	2	24.00249863
7	3	1	0	167.8003198
7	3	1	1	179.5748092
7	3	1	2	133.2975205
7	3	1	3	70.18973925
7	3	1	4	4.254960413
7	3	2	0	295.5350623
7	3	2	1	440.2256332
7	3	2	2	318.7642236
7	3	2	3	234.8043723
7	3	2	4	11.42636375
7	3	3	0	267.2935166
7	3	3	1	303.3533028
7	3	3	2	206.3043945
7	3	3	3	159.4618743
7	3	3	4	17.23904813
7	3	4	0	166.5805369
7	3	4	1	176.1749812
7	3	4	2	93.61863458
7	3	4	3	35.14719957
7	3	4	4	0.454824783
7	3	5	0	97.54175152
7	3	5	1	68.47040724
7	3	5	2	27.45980151
7	3	5	3	4.476262676
8	3	1	0	45.71609617
8	3	1	1	58.91098525
8	3	1	2	49.46562566
8	3	1	3	36.29138997
8	3	1	4	0.239579351
8	3	2	0	218.5571241
8	3	2	1	328.9442617
8	3	2	2	292.4463424
8	3	2	3	125.6632471
8	3	3	0	250.755649
8	3	3	1	271.4170783
8	3	3	2	250.8868323
8	3	3	3	83.29348553
8	3	4	0	231.2549897
8	3	4	1	238.1613115
8	3	4	2	131.3849222
8	3	4	3	18.77665795
8	3	4	4	0.352584746
8	3	5	0	173.47448
8	3	5	1	186.0459282
8	3	5	2	67.16029914
8	3	5	3	4.464217028
9	3	1	0	103.8592862
9	3	1	1	131.2954535
9	3	1	2	107.5726237
9	3	1	3	56.80142045
9	3	1	4	6.309531743
9	3	2	0	351.1744988
9	3	2	1	555.7804227
9	3	2	2	431.6135461
9	3	2	3	228.9659505
9	3	2	4	30.87169023
9	3	3	0	430.3788047
9	3	3	1	527.0003816
9	3	3	2	364.7511111
9	3	3	3	237.7696797
9	3	3	4	35.70450162
9	3	4	0	288.2707538
9	3	4	1	245.3349748
9	3	4	2	164.0017862
9	3	4	3	65.85529346
9	3	4	4	9.251282663
9	3	5	0	167.4808708
9	3	5	1	133.2920398
9	3	5	2	62.14428767
9	3	5	3	3.786180875
10	3	1	0	239.8950767
10	3	1	1	279.1363706
10	3	1	2	332.5767088
10	3	1	3	172.2486298
10	3	1	4	21.00152447
10	3	2	0	302.9807776
10	3	2	1	354.3563152
10	3	2	2	980.0535509
10	3	2	3	941.6652922
10	3	2	4	370.179587
10	3	3	0	495.8052238
10	3	3	1	487.0033538
10	3	3	2	962.1374332
10	3	3	3	689.5552853
10	3	3	4	66.47314021
10	3	4	0	505.9476036
10	3	4	1	457.3555026
10	3	4	2	311.1700707
10	3	4	3	169.7093499
10	3	4	4	31.01187149
10	3	5	0	162.1589951
10	3	5	1	144.2489439
10	3	5	2	81.66454245
10	3	5	3	5.322053189
11	3	1	0	195.1996415
11	3	1	1	191.5470177
11	3	1	2	138.2310293
11	3	1	3	84.79469055
11	3	1	4	17.48998137
11	3	2	0	848.9723709
11	3	2	1	1300.208262
11	3	2	2	378.629271
11	3	2	3	165.5042888
11	3	2	4	30.07781801
11	3	3	0	1250.446277
11	3	3	1	1107.107891
11	3	3	2	381.6634572
11	3	3	3	146.0041657
11	3	3	4	26.90268716
11	3	4	0	720.1847195
11	3	4	1	663.1104867
11	3	4	2	218.6082599
11	3	4	3	104.1078322
11	3	4	4	15.8291954
11	3	5	0	173.0115565
11	3	5	1	150.151818
11	3	5	2	68.08378464
11	3	5	3	5.794308757
12	3	1	0	143.5310808
12	3	1	1	183.296955
12	3	1	2	135.0824867
12	3	1	3	69.47308777
12	3	1	4	13.38228787
12	3	2	0	309.8191073
12	3	2	1	706.8478244
12	3	2	2	587.0823666
12	3	2	3	303.2646762
12	3	2	4	29.43576496
12	3	3	0	1025.98701
12	3	3	1	1432.550049
12	3	3	2	1032.989959
12	3	3	3	388.6168219
12	3	3	4	37.54945303
12	3	4	0	791.9477567
12	3	4	1	986.8960974
12	3	4	2	707.4303093
12	3	4	3	179.2132169
12	3	4	4	5.59106731
12	3	5	0	309.6098687
12	3	5	1	286.4868271
12	3	5	2	154.7731581
12	3	5	3	1.489079365
