plot	rep	nr	year	d	h	lc	bc	h.1	d.1	bc.1	lc.1
2	1	27	2005	0.1265	13.3220688011658	6.06495437941308	7.25711442175272	NA	NA	NA	NA
2	1	28	2005	0.2095	15.4688529920757	7.76310780242969	7.70574518964603	NA	NA	NA	NA
2	1	29	2005	0.1255	13.2840204927798	6.04017472433942	7.24384576844035	NA	NA	NA	NA
2	1	30	2005	0.134	13.5945106066642	6.24622701872449	7.34828358793967	NA	NA	NA	NA
2	1	31	2005	0.1415	13.8459891043468	6.42007376155269	7.42591534279409	NA	NA	NA	NA
2	1	32	2005	0.1335	13.5770274247858	6.23438286259468	7.34264456219108	NA	NA	NA	NA
2	1	33	2005	0.139	13.7643434197067	6.36289751816498	7.40144590154169	NA	NA	NA	NA
2	1	34	2005	0.1865	15.0235928183685	7.34565728312346	7.67793553524504	NA	NA	NA	NA
2	1	35	2005	0.172	14.6957779637859	7.06574251485758	7.63003544892831	NA	NA	NA	NA
2	1	36	2005	0.208	15.4422232851504	7.73673919334813	7.70548409180224	NA	NA	NA	NA
2	1	37	2005	0.1735	14.731646982114	7.09539435132031	7.63625263079368	NA	NA	NA	NA
2	1	38	2005	0.224	15.7112912808206	8.01267584790047	7.69861543292012	NA	NA	NA	NA
2	1	39	2005	0.136	13.6635202704261	6.29327664383028	7.3702436265958	NA	NA	NA	NA
2	1	40	2005	0.1235	13.2066372748697	5.99016001472105	7.2164772601486	NA	NA	NA	NA
2	1	41	2005	0.1335	13.5770274247858	6.23438286259468	7.34264456219108	NA	NA	NA	NA
2	1	42	2005	0.168	14.5977352405676	6.98582159504431	7.61191364552334	NA	NA	NA	NA
2	1	43	2005	0.179	14.8591782047827	7.20270126298076	7.65647694180194	NA	NA	NA	NA
2	1	44	2005	0.177	14.8135127040886	7.16393255691998	7.64958014716863	NA	NA	NA	NA
2	1	45	2005	0.1485	14.0638184896428	6.5763464012591	7.48747208838375	NA	NA	NA	NA
2	1	46	2005	0.1505	14.1233005248019	6.62001887697133	7.50328164783053	NA	NA	NA	NA
2	1	47	2005	0.1205	13.0872377338496	5.91396138713084	7.17327634671877	NA	NA	NA	NA
2	1	48	2005	0.243	15.9927350887563	8.32680517070995	7.66592991804636	NA	NA	NA	NA
2	1	49	2005	0.17	14.6471983004926	7.02593888468363	7.621259415809	NA	NA	NA	NA
2	1	50	2005	0.144	13.9255631652325	6.47651571993598	7.4490474452965	NA	NA	NA	NA
2	1	51	2005	0.1535	14.2103595436582	6.68476005592752	7.52559948773069	NA	NA	NA	NA
2	1	52	2005	0.179	14.8591782047827	7.20270126298076	7.65647694180194	NA	NA	NA	NA
2	1	53	2005	0.152	14.1671491620001	6.65250266248668	7.51464649951338	NA	NA	NA	NA
2	1	54	2005	0.1375	13.7143282660514	6.32822754908877	7.38610071696263	NA	NA	NA	NA
2	1	55	2005	0.154	14.2246235411438	6.69546304860938	7.52916049253443	NA	NA	NA	NA
2	1	56	2005	0.1745	14.7552955675873	7.11506845798487	7.64022710960242	NA	NA	NA	NA
2	1	57	2005	0.1795	14.8704711417614	7.21234959403067	7.65812154773076	NA	NA	NA	NA
2	1	58	2005	0.2	15.2948240771254	7.59419574854377	7.70062832858159	NA	NA	NA	NA
2	1	59	2005	0.142	13.862067137074	6.4314200109287	7.43064712614529	NA	NA	NA	NA
2	1	60	2005	0.1105	12.6578653726222	5.64886940742033	7.00899596520189	NA	NA	NA	NA
2	1	61	2005	0.108	12.5422802621919	5.57968309393554	6.96259716825639	NA	NA	NA	NA
2	1	62	2005	0.1245	13.2455456708056	6.01524409745087	7.23030157335473	NA	NA	NA	NA
2	1	63	2005	0.1435	13.9098103466486	6.46528475312186	7.44452559352673	NA	NA	NA	NA
2	1	64	2005	0.175	14.7670416697311	7.12487774312808	7.64216392660305	NA	NA	NA	NA
2	1	65	2005	0.118	12.9845606631644	5.84933837502617	7.13522228813826	NA	NA	NA	NA
2	1	66	2005	0.1655	14.5346274114782	6.93522090806516	7.59940650341305	NA	NA	NA	NA
2	1	67	2005	0.191	15.1173606301236	7.42969666385924	7.68766396626437	NA	NA	NA	NA
2	1	68	2005	0.197	15.2370991632259	7.53987085939193	7.697228303834	NA	NA	NA	NA
2	1	69	2005	0.1655	14.5346274114782	6.93522090806516	7.59940650341305	NA	NA	NA	NA
2	1	70	2005	0.1755	14.7787360989494	7.13466867685627	7.64406742209308	NA	NA	NA	NA
2	1	71	2005	0.131	13.4881900635693	6.17465859740478	7.3135314661645	NA	NA	NA	NA
2	1	72	2005	0.172	14.6957779637859	7.06574251485758	7.63003544892831	NA	NA	NA	NA
2	1	73	2005	0.1975	15.2468166833944	7.54895938267013	7.69785730072426	NA	NA	NA	NA
2	1	74	2005	0.1655	14.5346274114782	6.93522090806516	7.59940650341305	NA	NA	NA	NA
2	1	75	2005	0.1245	13.2455456708056	6.01524409745087	7.23030157335473	NA	NA	NA	NA
2	1	76	2005	0.1175	12.9636667903553	5.83628698032191	7.12737981003343	NA	NA	NA	NA
2	1	77	2005	0.1075	12.5187368300482	5.56569518907111	6.95304164097709	NA	NA	NA	NA
2	1	78	2005	0.145	13.9568300435241	6.49889300917337	7.45793703435074	NA	NA	NA	NA
2	1	79	2005	0.1595	14.3770860153985	6.81162019646165	7.56546581893687	NA	NA	NA	NA
2	1	80	2005	0.172	14.6957779637859	7.06574251485758	7.63003544892831	NA	NA	NA	NA
2	1	81	2005	0.1395	13.7808420976568	6.37439285379601	7.40644924386083	NA	NA	NA	NA
2	1	82	2005	0.2005	15.3043111161541	7.60320233932583	7.70110877682823	NA	NA	NA	NA
2	1	83	2005	0.162	14.4438007515085	6.86350113955156	7.58029961195696	NA	NA	NA	NA
2	1	84	2005	0.203	15.3511864051675	7.6480362385919	7.70315016657565	NA	NA	NA	NA
2	1	85	2005	0.1655	14.5346274114782	6.93522090806516	7.59940650341305	NA	NA	NA	NA
2	1	86	2005	0.109	12.5889369305978	5.60750693426565	6.9814299963322	NA	NA	NA	NA
2	1	87	2005	0.0975	12.0155631994037	5.27453174285702	6.7410314565467	NA	NA	NA	NA
2	1	88	2005	0.2225	15.6874043459331	7.98728278158032	7.70012156435283	NA	NA	NA	NA
2	1	89	2005	0.176	14.7903791921871	7.14444137841422	7.64593781377286	NA	NA	NA	NA
2	1	90	2005	0.1545	14.2388186381798	6.70614159894074	7.53267703923906	NA	NA	NA	NA
2	1	91	2005	0.186	15.0129548048597	7.33624162396941	7.67671318089025	NA	NA	NA	NA
2	1	92	2005	0.1385	13.7477586657436	6.35137167869999	7.39638698704362	NA	NA	NA	NA
2	1	93	2005	0.215	15.5639253525731	7.85887878181947	7.70504657075358	NA	NA	NA	NA
2	1	94	2005	0.202	15.3325473924318	7.63014217844319	7.70240521398857	NA	NA	NA	NA
2	1	95	2005	0.0715	10.3411367544572	4.38855141889448	5.95258533556276	NA	NA	NA	NA
2	1	96	2005	0.177	14.8135127040886	7.16393255691998	7.64958014716863	NA	NA	NA	NA
2	1	97	2005	0.18	14.881715336839	7.22198061110634	7.65973472573268	NA	NA	NA	NA
2	2	1	2005	0.2095	16.1747058135032	8.10447222935217	8.07023358415101	NA	NA	NA	NA
2	2	2	2005	0.122	12.7409587822203	5.75807337227892	6.98288540994138	NA	NA	NA	NA
2	2	3	2005	0.173	15.0194528793255	7.21784646678035	7.80160641254512	NA	NA	NA	NA
2	2	4	2005	0.181	15.2994433682432	7.42111594612667	7.87832742211652	NA	NA	NA	NA
2	2	5	2005	0.122	12.7409587822203	5.75807337227892	6.98288540994138	NA	NA	NA	NA
2	2	6	2005	0.128	13.0634565612434	5.94782569261472	7.11563086862868	NA	NA	NA	NA
2	2	7	2005	0.1595	14.5062137001009	6.86125565327408	7.64495804682678	NA	NA	NA	NA
2	2	8	2005	0.195	15.7514363060095	7.76416329373605	7.9872730122735	NA	NA	NA	NA
2	2	9	2005	0.1755	15.108767570414	7.28197406378499	7.82679350662906	NA	NA	NA	NA
2	2	10	2005	0.1475	14.001199912015	6.5280637202653	7.47313619174975	NA	NA	NA	NA
2	2	11	2005	0.201	15.931744209426	7.90670675451978	8.02503745490621	NA	NA	NA	NA
2	2	12	2005	0.226	16.6086444308931	8.47575408391993	8.13289034697314	NA	NA	NA	NA
2	2	13	2005	0.1605	14.5461255217112	6.88829993927127	7.65782558243994	NA	NA	NA	NA
2	2	14	2005	0.133	13.3192627347324	6.10168347074892	7.21757926398352	NA	NA	NA	NA
