Snr	strata	Brnr	base.dw.g	D.br.d1	D.br.d2	scan.c0	scan.c1	scan.c2	scan.c3	rm.c0	rm.c1	rm.c2	rm.c3
4	1	2	3.2	1.2	1.3	0.45	0.43	0.38		1.3	0.9	0.8	
4	2	3	7.8	1.8	2	0.54	0.56	0.53		1.2	1.2	1.3	
4	2	4	7.1	1.8	1.9	0.76	0.48	0.47		1.3	1.3	1.6	
4	3	5	11.8	2.3	2.4	0.69	0.79	0.59	0.74	1.9	1.4	1.3	1
4	3	6	17.3	2.5	2.5	0.61	0.82	0.49		1.5	1.8	1.6	
4	4	7	19.6	2.7	2.8	0.96	0.92	0.8	0.66	3.2	2.5	2.1	0
4	4	8	27.9	3.4	3.6	1.05	1.09	1.16	0.67	2.1	2.5	1.7	1.3
4	5	9	1.3	0.7	0.8	1.24	1.48			2.9	2		
4	5	10	0.8	0.5	0.5	0.77	0.8	0.42		1.2	1	0	
5	1	1	25.3	3.2	3.1	0.72	0.53	0.51		2	2.1	1.5	
5	1	2	31.6	3.5	3.4	0.81	0.74	0.83	0.72	3	2.5	2.1	2
5	2	3	6.8	1.8	1.8	0.76	0.63	0.71	0.76	2.1	1.3	1.5	0.9
5	2	4	3.2	1.6	1.6	0.69	0.58	0.59	1.33	1.4	1.4	1.9	0
5	3	5	6.5	1.6	1.6	0.88	0.95	0.76	0.89	1.8	2.1	1.7	1.7
5	3	6	18.4	2.5	2.6	1.19	0.88	0.82	0.97	2.5	2.2	2.3	2.4
5	4	7	9.4	1.9	2	1.13	1.27	1.48	1.31	3.8	3.5	3.5	2.4
5	4	8	11.2	1.8	1.9	1.1	0.97	1	1.14	3.4	3.1	3.7	2.9
5	5	9	2.7	1	0.9	1.31	1.28	1.25		3.5	2.9	3.7	
5	5	10	1.8	0.9	0.9	0.98	1.23	1.15		3.7	3.4	3.8	
6	1	1	8.7	1.7	1.7	0.54	0.48	0.85	0.58	1.6	1.2	1.1	0
6	1	2	3.2	1.1	1.2	0.4	0.38	0.39	0.38	1.9	1.5	1.5	0.4
6	2	3	2.8	0.8	0.8	0.42	0.54	0.45		1.3	1	1.5	
6	2	4	2.6	0.8	0.7	0.33	0.4	0.41		0.7	0.9	0.5	
6	3	5	7.1	1.5	1.6	0.79	0.53	0.45	0.64	2.3	1.3	1.9	0
6	3	6	6.5	1.5	1.6	0.51	0.58	0.9	0.52	1.5	1.8	1.9	0.4
6	4	7	5.1	1.4	1.4	0.69	0.76	1.01		2.3	1.9	1.9	
6	4	8	4	1.1	1.1	0.62	0.74	1.13		1.9	2.7	2.1	
