Snr	trt	year	age	wd	wde	wdl	swg	wge	wgl	ba	bai	baie	bail
3	F	1985	48	0.79	0.495	0.295	377.861189773292	319.78678771393	475.200895098564	17974.3383675381	373.494839966599	233.566496759933	139.928343206666
3	F	1986	49	0.855	0.605	0.25	368.870210195134	321.388489184195	484.029619209959	18382.9823671307	408.643999592572	288.682284115246	119.961715477326
3	F	1987	50	0.89	0.59	0.3	372.646822178466	320.459594095047	474.860733835944	18813.2335341363	430.251167005616	284.666621845612	145.584545160003
3	F	1988	51	0.92	0.635	0.285	372.94851626586	318.896441758408	490.783148613743	19263.2189295547	449.985395418404	310.019196020265	139.966199398139
3	F	1989	52	1.02	0.665	0.355	395.76343637565	330.503879006387	518.339207583124	19768.3323645398	505.113434985065	328.572499754569	176.540935230496
3	F	1990	53	1.18	0.73	0.45	402.970664386662	339.512816973955	506.651234844341	20360.8348540512	592.502489511444	365.516137104274	226.98635240717
3	F	1991	54	1.305	0.835	0.47	379.466688525262	317.354900920609	490.694993599469	21026.2903871467	665.455533095497	424.556637621899	240.898895473598
3	F	1992	55	1.09	0.705	0.385	381.920057174135	318.821542211515	498.24525253473	21590.3127684571	564.022381310326	363.950760024807	200.071621285519
3	F	1993	56	0.745	0.475	0.27	383.623903771352	323.078731059485	485.278870686809	21980.1090970837	389.796328626628	248.124951275928	141.6713773507
3	F	1994	57	0.875	0.525	0.35	402.077644165789	320.463787012303	525.620919574685	22442.3767846008	462.267687517062	276.783344860141	185.48434265692
3	F	1995	58	0.765	0.595	0.17	350.405206853791	315.036095671427	474.415409887084	22850.472262116	408.095477515257	317.089821526064	91.0056559891927
3	F	1996	59	0.79	0.57	0.22	364.224511892805	316.40628366002	485.430462434335	23275.7634826401	425.291220524126	306.461735039149	118.829485484977
3	F	1997	60	0.915	0.58	0.335	387.491893410515	316.366909540586	510.526068382475	23773.2487379632	497.485255323074	314.735433451649	182.749821871425
3	F	1998	61	0.895	0.635	0.26	371.273572484812	323.852782329033	487.091246225294	24264.9492216536	491.70048369038	348.341442766181	143.359040924199
