plot	year	rep	nr	d	h	lc	cb	ba	Vst	Vsw	Bsb	Bbr	Bcr	Bcn	Bdb	Bf	dd	dh	dcb	dba	dVst	dVsw	dBsb	dBbr	dBcr	dBcn	Bbr.trnv	trt	swg	dBsw
3	2018	1	49	0.1745	18.5456219746143	7.70898898803013	10.8366329865842	0.0239155704249931	0.232569198513825	0.197172094733818	7.13792863263358	10.509902818375	19.4810714625125	0.0600628456151307	1.99161124240288	3.69340417589486	0.00142848882499699	0.1945257125222	0.212502530917421	0.000389951774317599	0.00611070413813369	0.00525939124200417	0.0741189098765318	0.196896500501113	0.270313212020515	0.00170509180536056	0.19412990468856	C	436.464553507964	2.29553785016505
3	2018	1	50	0.178	18.6359942239209	7.81092901582041	10.8250652081005	0.0248845554090847	0.242327131175482	0.205611144602079	7.39710444314016	11.1608792492429	20.1499341956029	0.0643906802122358	2.08592819823319	3.84535294965594	0.000569288346664004	0.171339979337301	0.212756099482741	0.000158919476721739	0.00388303049751645	0.00333619233114821	0.0108589315152585	0.0446748740766498	0.109425712131582	0.000718639833814677	0.202814130207362	C	436.464553507964	1.4561296962313
3	2018	1	51	0.242	19.9069787416389	9.60105055689173	10.3059281847472	0.0459960580412082	0.452872891407696	0.389063061623364	12.902225552337	26.2605439777606	33.9649221602067	0.188880866382419	4.10295427306441	6.74951688099273	0.00198726932464	0.187853721647699	0.161818178941358	0.000752324350683238	0.0113911208637174	0.00993847775691387	0.141486345893769	0.517706437927217	0.472760392480488	0.00537868102567238	0.304844913889008	C	436.464553507964	4.33779325672024
3	2018	1	52	0.162	18.1986135650269	7.34023301113298	10.8583805538939	0.0206119894002026	0.199252365333921	0.16841431767557	6.24812894692552	8.3501437263128	17.1687940699282	0.0462922195638978	1.67098983442561	3.16271455058335	0.00154471358014199	0.202558116990399	0.221009927514819	0.000391207657648534	0.00584980742852795	0.00502099629929595	0.078990968619272	0.185955283508259	0.27735737774438	0.00152815130033391	0.172459709761227	C	436.464553507964	2.19148690793735
3	2018	1	53	0.1735	18.519283385767	7.67976315448196	10.839520231285	0.0236422518641308	0.229815544792439	0.194791910757455	7.06468323111755	10.3275856174607	19.2916779726304	0.0588655312944436	1.96502089106789	3.65023730563286	0.00106397447469397	0.185111929727402	0.21396073336815	0.000289079225160704	0.00508024430510948	0.00436810798530021	0.047308543315439	0.129092797135526	0.2006726167143	0.00125508102452664	0.19307563865854	C	436.464553507964	1.90652430147863
3	2018	1	54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C	436.464553507964	NA
3	2018	1	55	0.1595	18.1242696620247	7.26552804652309	10.8587416155016	0.0199807256263719	0.19287866336989	0.162923394387326	6.07690464052372	7.949636996776	16.7208442404388	0.043837269491318	1.61000736923905	3.05913360570745	0.00148423864480701	0.201807066011103	0.222738876673402	0.000370133935352068	0.00558569291490565	0.00479088200262201	0.0741413407902591	0.170344217697885	0.263635154553498	0.00141265825353948	0.168228911465279	C	436.464553507964	2.09105017418376
3	2018	1	56	0.2045	19.2397672323036	8.567186148901	10.6725810834026	0.0328455475428221	0.322199620504313	0.274926813572575	9.50103549678965	16.7148174486411	25.5112315355954	0.104712134950006	2.85916543432861	5.02949609760733	0.00149550804736798	0.1875400481937	0.19209274364956	0.000478642255162219	0.00770474036106894	0.00667348266230938	0.0863320470235109	0.28717696652005	0.31632473834863	0.00265845017681698	0.247839956863797	C	436.464553507964	2.912738630548
3	2018	1	57	0.1815	18.7236427881553	7.9123423995953	10.81130038856	0.0258727826481796	0.25227135230991	0.214218401368347	7.66065729702965	11.8316975066461	20.8280657136644	0.0689368940175669	2.18216018904382	3.99856413863743	0.00100360657586598	0.181690741276398	0.209342166628659	0.000285336692834027	0.0052261074556422	0.00450071859899689	0.0435719267504977	0.132304589885706	0.195395299289775	0.00132631228351668	0.208104037358781	C	436.464553507964	1.96440413377617
3	2018	1	58	0.18	18.686404751705	7.86894250053908	10.8174622511659	0.0254469004940773	0.247986782726469	0.210509015734545	7.54717051072063	11.541789412143	20.5363064625628	0.0669613616719023	2.14068601922428	3.93275450215013	0.00155019336370599	0.1958256931708	0.208411663144989	0.000436419457569438	0.00669921835899867	0.00577415448925483	0.0845628309271795	0.233390676036825	0.299739293094888	0.00199878467882837	0.203505581711694	C	436.464553507964	2.52021376103862
