trt	plot	rep	depth	diameter	drymass
C	1	2	25	2	
C	1	3	OM	2	0.125
C	1	3	5	2	0.439
C	1	3	15	2	0.043
C	1	3	25	2	
C	1	4	OM	2	
C	1	4	5	2	0.360
C	1	4	15	2	0.167
C	1	4	25	2	
C	1	5	OM	2	
C	1	5	5	2	
C	1	5	15	2	
C	1	5	25	2	
C	2	1	OM	2	
C	2	1	5	2	
C	2	1	15	2	
C	2	1	25	2	
C	2	2	OM	2	
C	2	2	5	2	
C	2	2	15	2	0.050
C	2	2	25	2	
C	2	3	OM	2	
C	2	3	5	2	
C	2	3	15	2	0.412
C	2	3	25	2	
C	2	4	OM	2	
C	2	4	5	2	0.429
C	2	4	15	2	0.199
C	2	4	25	2	
C	2	5	OM	2	
C	2	5	5	2	0.199
C	2	5	15	2	0.154
C	2	5	25	2	
C	3	1	OM	2	0.141
C	3	1	5	2	0.257
C	3	1	15	2	0.071
C	3	1	25	2	0.249
C	3	2	OM	2	
C	3	2	5	2	0.072
C	3	2	15	2	
C	3	2	25	2	
C	3	3	OM	2	
C	3	3	5	2	0.189
C	3	3	15	2	0.503
C	3	3	25	2	
C	3	4	OM	2	
C	3	4	5	2	
C	3	4	15	2	0.059
C	3	4	25	2	
C	3	5	OM	2	
C	3	5	5	2	0.420
C	3	5	15	2	
C	3	5	25	2	0.105
