plot	rep	nr	year	d	hm	hm.se	dm	yr
2	1	53	2016	0.152	16.2444402145422	0.0891845657131725	0.178029750501847	11
2	1	53	2017	0.152	16.501787689226	0.0910087181060346	0.179850012116237	12
2	1	53	2018	0.152	16.7	0.093273330962121	0.1815	13
2	1	60	2005	0.1105	11.4	0	0.1105	0
2	1	60	2006	0.1105	11.747524977838	0.0242774210807036	0.112540556088939	1
2	1	60	2007	0.1105	12.0731142528243	0.0308318389021437	0.11482813372894	2
2	1	60	2008	0.1105	12.4248241321089	0.0363885703277203	0.118672485618275	3
2	1	60	2009	0.1105	12.8366823545413	0.0407615535752842	0.121096152877047	4
2	1	60	2010	0.1105	13.2166329807395	0.0431652158483145	0.122848969238301	5
2	1	60	2011	0.1105	13.5828072938477	0.0482573190729606	0.12494796026257	6
2	1	60	2012	0.1105	13.9448571125773	0.0520151924920565	0.128164906397821	7
2	1	60	2013	0.1105	14.3	0.0560826578695883	0.131413621280106	8
2	1	67	2005	0.191	16	0	0.191	0
2	1	67	2006	0.191	16.254320449068	0.0324574495394112	0.193654197049118	1
2	1	67	2007	0.191	16.5080661068154	0.0487906465157745	0.196602281185613	2
2	1	67	2008	0.191	16.7867175934029	0.0563405545556607	0.200115355681629	3
2	1	67	2009	0.191	17.140055184874	0.0685809141639957	0.204190981449746	4
2	1	67	2010	0.191	17.4680608100551	0.0695395951486516	0.208768995580739	5
2	1	67	2011	0.191	17.8070967185074	0.0748112892362049	0.213	6
2	1	67	2012	0.191	18.101837432887	0.0815187042103231	0.21686078982577	7
2	1	67	2013	0.191	18.3975691322218	0.0856394628877196	0.219486763003477	8
2	1	67	2014	0.191	18.6684362674512	0.0936545353643542	0.222854205444411	9
2	1	67	2015	0.191	18.9703286783207	0.0956671627770097	0.226425163546778	10
2	1	67	2016	0.191	19.2042437628841	0.0970537920996289	0.229764655781122	11
2	1	67	2017	0.191	19.4842983676871	0.0990388991153906	0.232776858873938	12
2	1	67	2018	0.191	19.7	0.101503330752896	0.2355	13
2	1	74	2005	0.1655	14.1	0	0.1655	0
2	1	74	2006	0.1655	14.4024351286214	0.0385980481009214	0.167728824836027	1
2	1	74	2007	0.1655	14.7041867216183	0.0580213093701102	0.170205519825804	2
2	1	74	2008	0.1655	15.0355560570197	0.0669995783905155	0.173158287072023	3
2	1	74	2009	0.1655	15.4557413009312	0.0815556817085355	0.17658572362817	4
2	1	74	2010	0.1655	15.8458020443899	0.0826957347713695	0.180437872251207	5
2	1	74	2011	0.1655	16.2489798814683	0.0889647763890005	0.184	6
2	1	74	2012	0.1655	16.5994823526224	0.0969411617636275	0.18681373699568	7
2	1	74	2013	0.1655	16.9511632923719	0.101841523434045	0.188731943600683	8
2	1	74	2014	0.1655	17.2732755612934	0.111372960973827	0.19119679376506	9
2	1	74	2015	0.1655	17.6322827525976	0.113766355734822	0.193816549338263	10
2	1	74	2016	0.1655	17.9104520423487	0.115415320334694	0.1962718142331	11
2	1	74	2017	0.1655	18.2434899507631	0.117775988137221	0.198490697157293	12
2	1	74	2018	0.1655	18.5	0.120706663598039	0.2005	13
2	1	81	2005	0.1395	14.7	0	0.1395	0
2	1	81	2006	0.1395	14.9611939747185	0.0333346779053412	0.14292811074492	1
2	1	81	2007	0.1395	15.2217976232158	0.0501093126378225	0.146695283039081	2
2	1	81	2008	0.1395	15.5079802310625	0.0578632722463543	0.151133024739473	3
2	1	81	2009	0.1395	15.8708674871679	0.0704344523846443	0.156217314318974	4
2	1	81	2010	0.1395	16.2077381292458	0.0714190436661828	0.161853947679073	5
2	1	81	2011	0.1395	16.555937170359	0.0768332159723186	0.167	6
2	1	81	2012	0.1395	16.8586438499921	0.0837219124322238	0.171732311965404	7
2	1	81	2013	0.1395	17.1623682979575	0.0879540429657661	0.17492494158939	8
2	1	81	2014	0.1395	17.4405561665715	0.0961857390228503	0.178990163405424	9
2	1	81	2015	0.1395	17.7506078317888	0.098252761770983	0.183267852604299	10
2	1	81	2016	0.1395	17.9908449456648	0.099676867561781	0.187239359865302	11
2	1	81	2017	0.1395	18.2784685938408	0.101715626118509	0.190799154312826	12
2	1	81	2018	0.1395	18.5	0.104246664016488	0.194	13
2	1	89	2005	0.176	16.3	0	0.176	0
2	1	89	2006	0.176	16.554320449068	0.0324574495394112	0.179503924288653	1
2	1	89	2007	0.176	16.8080661068154	0.0487906465157745	0.183372285089881	2
2	1	89	2008	0.176	17.0867175934029	0.0563405545556607	0.187951714022501	3
2	1	89	2009	0.176	17.440055184874	0.0685809141639957	0.193226109581783	4
2	1	89	2010	0.176	17.7680608100551	0.0695395951486516	0.199105432868326	5
2	1	89	2011	0.176	18.1070967185074	0.0748112892362049	0.2045	6
2	1	89	2012	0.176	18.401837432887	0.0815187042103231	0.207479480350597	7
2	1	89	2013	0.176	18.6975691322218	0.0856394628877196	0.209511874322611	8
2	1	89	2014	0.176	18.9684362674512	0.0936545353643542	0.212124824087535	9
2	1	89	2015	0.176	19.2703286783207	0.0956671627770097	0.214903619326897	10
2	1	89	2016	0.176	19.5042437628841	0.0970537920996289	0.217509409098372	11
2	1	89	2017	0.176	19.7842983676871	0.0990388991153906	0.219865506365142	12
2	1	89	2018	0.176	20	0.101503330752896	0.222	13
2	1	93	2005	0.215	16.1	0	0.215	0
2	1	93	2006	0.215	16.368067500369	0.0342119062712712	0.217577695913495	1
2	1	93	2007	0.215	16.6355291396163	0.0514279787598704	0.220446389562898	2
2	1	93	2008	0.215	16.929242868722	0.0593859899370478	0.223872225239231	3
2	1	93	2009	0.215	17.3016797894618	0.0722879906052928	0.227856227448459	4
2	1	93	2010	0.215	17.6474154484365	0.0732984921837139	0.232342972589438	5
2	1	93	2011	0.215	18.0047776222105	0.0788551427084322	0.2365	6
2	1	93	2012	0.215	18.3154502670971	0.0859251206541243	0.238858818194816	7
2	1	93	2013	0.215	18.6271674636932	0.0902686230438126	0.240473912094957	8
2	1	93	2014	0.215	18.9126760656919	0.0987169426813463	0.242557414850608	9
2	1	93	2015	0.215	19.2308869852569	0.100838360764956	0.244781656816659	10
2	1	93	2016	0.215	19.4774461284454	0.102299943023933	0.24687517136491	11
2	1	93	2017	0.215	19.7726388199945	0.104392353121628	0.248774378283979	12
2	1	93	2018	0.215	20	0.10698999728008	0.2505	13
2	1	94	2012	0.2265	18.2	0	0.226532355825717	7
2	1	94	2013	0.2265	18.5920355565803	0.0392454277216967	0.229275028413057	8
2	1	94	2014	0.2265	18.9444548833332	0.0582637499184535	0.232792128577957	9
2	1	94	2015	0.2265	19.3414008360917	0.0622831915107973	0.236521797497952	10
2	1	94	2016	0.2265	19.6493118363762	0.0654898050174092	0.240009720496014	11
2	1	94	2017	0.2265	20.0184692015921	0.0707205762192927	0.243155813186733	12
2	1	94	2018	0.2265	20.3	0.0747054138163541	0.246	13
2	1	97	2005	0.18	13.7	0	0.18	0
2	1	97	2006	0.18	13.98181455167	0.0359663630031313	0.181663011052942	1
2	1	97	2007	0.18	14.2629921724171	0.0540653110039664	0.183519003509457	2
2	1	97	2008	0.18	14.5717681440411	0.0624314253184349	0.185742469351106	3
2	1	97	2009	0.18	14.9633043940495	0.0759950670465899	0.188337461395944	4
2	1	97	2010	0.18	15.3267700868179	0.0770573892187762	0.191271355222389	5
2	1	97	2011	0.18	15.7024585259136	0.0828989961806596	0.194	6
2	1	97	2012	0.18	16.0290631013072	0.0903315370979257	0.19716180342454	7
2	1	97	2013	0.18	16.3567657951647	0.0948977831999056	0.199315535980627	8
2	1	97	2014	0.18	16.6569158639325	0.103779349998339	0.202081019135752	9
2	1	97	2015	0.18	16.9914452921932	0.106009558752903	0.205017915206055	10
2	1	97	2016	0.18	17.2506484940067	0.107546093948237	0.207768266630248	11
2	1	97	2017	0.18	17.560979272302	0.109745807127865	0.210252113542222	12
2	1	97	2018	0.18	17.8	0.112476663807264	0.2125	13
2	2	1	2005	0.2095	16.5	0	0.2095	0
2	2	1	2006	0.2095	16.7199528208156	0.028071307709761	0.213615325826993	1
2	2	1	2007	0.2095	16.9394085248133	0.0421973159055347	0.218159883675315	2
2	2	1	2008	0.2095	17.1804044051052	0.0487269661021931	0.223541337427628	3
2	2	1	2009	0.2095	17.4859936734045	0.059313223060753	0.229741385073553	4
2	2	1	2010	0.2095	17.7696742141017	0.060142352560996	0.236654750183645	5
2	2	1	2011	0.2095	18.0628944592497	0.0647016555556367	0.243	6
2	2	1	2012	0.2095	18.3178053473617	0.07050266310082	0.249278004165338	7
2	2	1	2013	0.2095	18.5735733035432	0.0740665624974872	0.253521812467657	8
2	2	1	2014	0.2095	18.8078367718497	0.0809985170718739	0.258934692152002	9
2	2	1	2015	0.2095	19.06893291098	0.0827391678071435	0.264640929761629	10
2	2	1	2016	0.2095	19.2712378489809	0.0839384147888682	0.269947749157804	11
2	2	1	2017	0.2095	19.5134472369186	0.0856552640997972	0.274711381313661	12
2	2	1	2018	0.2095	19.7	0.0877866644349374	0.279	13
2	2	2	2007	0.1285	13.4	0	0.12676926543203	2
2	2	2	2008	0.1285	13.7072722061849	0.0333116331472999	0.129737964979738	3
2	2	2	2009	0.1285	14.0947295415904	0.0536688013362271	0.133162569060598	4
2	2	2	2010	0.1285	14.4540989571782	0.0544501766840471	0.136986227103578	5
2	2	2	2011	0.1285	14.8263400605827	0.0627019807629219	0.1405	6
2	2	2	2012	0.1285	15.1482525016261	0.0710839406050357	0.142985726358214	7
2	2	2	2013	0.1285	15.4724935876765	0.0764143429568422	0.144677022763551	8
2	2	2	2014	0.1285	15.767112207791	0.0850770335623653	0.146846545453206	9
2	2	2	2015	0.1285	16.0990776809972	0.088255611466802	0.149147977087636	10
2	2	2	2016	0.1285	16.3554864214156	0.0898638564820491	0.15130093683634	11
2	2	2	2017	0.1285	16.6626787206636	0.0923200206887	0.153243454090994	12
2	2	2	2018	0.1285	16.9	0.0958981638128755	0.155	13
2	2	4	2005	0.181	15	0	0.181	0
2	2	4	2006	0.181	15.3161821799224	0.0403525048327815	0.184108774412061	1
2	2	4	2007	0.181	15.6316497544192	0.0606586416142061	0.187550316428701	2
2	2	4	2008	0.181	15.9780813323388	0.0700450137719026	0.191636552185447	3
2	2	4	2009	0.181	16.417365905519	0.0852627581498325	0.196358127470831	4
2	2	4	2010	0.181	16.8251566827713	0.0864546318064318	0.201639087737837	5
