Snr	strata	age	plot	rn	dw.g	area.cm	sla	area.n	dw.n	yr	ag	bg	pch
18	1	4	0	2	44	0.57	22.8322124	40.0565129824561	0.518913918181818	0.0129545454545455	18	0	1	24
19	1	4	1	2	58	0.81	31.8321944	39.2990054320988	0.548830937931035	0.0139655172413793	18	1	1	24
20	1	4	2	2	52	0.61	25.6257552	42.0094347540984	0.492802984615385	0.0117307692307692	18	2	1	24
21	1	4	0	2	49	0.57	25.16124	44.1425263157895	0.513494693877551	0.0116326530612245	18	0	1	24
22	1	4	1	2	46	0.58	23.7354364	40.9231662068966	0.515987747826087	0.0126086956521739	18	1	1	24
23	1	4	2	2	44	0.73	29.7870372	40.8041605479452	0.676978118181818	0.0165909090909091	18	2	1	24
26	1	5	0	2	47	0.7	26.741882	38.2026885714286	0.568976212765957	0.0148936170212766	18	0	1	24
27	1	5	1	2	42	0.89	31.5547756	35.4548040449438	0.751304180952381	0.0211904761904762	18	1	1	24
28	1	5	2	2	27	0.47	17.2644816	36.7329395744681	0.639425244444444	0.0174074074074074	18	2	1	24
24	1	5	0	2	55	0.83	32.5225156	39.1837537349398	0.591318465454546	0.0150909090909091	18	0	1	24
25	1	5	1	2	56	1.26	44.8450716	35.5913266666667	0.80080485	0.0225	18	1	1	24
143	2	1	0	2	115	0.5	26.6644628	53.3289256	0.231864893913043	0.00434782608695652	18	0	1	24
144	2	1	1	2	110	0.56	29.0515548	51.8777764285714	0.264105043636364	0.00509090909090909	18	1	1	24
145	2	1	2	2	68	0.5	25.0902724	50.1805448	0.368974594117647	0.00735294117647059	18	2	1	24
146	2	1	0	2	54	0.25	12.9225548	51.6902192	0.23930657037037	0.00462962962962963	18	0	1	24
147	2	1	1	2	58	0.33	17.7612548	53.8219842424242	0.306228531034483	0.00568965517241379	18	1	1	24
148	2	1	2	2	97	0.66	32.2128388	48.8073315151515	0.332091121649485	0.00680412371134021	18	2	1	24
149	2	2	0	2	68	0.57	25.6580132	45.014058245614	0.377323723529412	0.00838235294117647	18	0	1	24
150	2	2	1	2	48	0.33	17.6644808	53.5287296969697	0.368010016666667	0.006875	18	1	1	24
151	2	2	2	2	49	0.59	26.1741412	44.3629511864407	0.534166146938776	0.0120408163265306	18	2	1	24
152	2	2	0	2	55	0.41	20.8515712	50.8574907317073	0.379119476363636	0.00745454545454545	18	0	1	24
153	2	2	1	2	44	0.4	18.999962	47.499905	0.431817318181818	0.00909090909090909	18	1	1	24
154	2	2	2	2	60	0.81	33.0128372	40.7565891358025	0.550213953333333	0.0135	18	2	1	24
155	2	2	3	2	32	0.38	16.1741612	42.5635821052632	0.5054425375	0.011875	18	2	1	24
156	2	3	0	2	57	0.52	21.8967304	42.1090969230769	0.384153164912281	0.00912280701754386	18	0	1	24
157	2	3	1	2	49	0.62	24.580596	39.6461225806451	0.50164481632653	0.0126530612244898	18	1	1	24
158	2	3	2	2	59	0.85	32.999934	38.8234517647059	0.559320915254237	0.014406779661017	18	2	1	24
159	2	3	0	2	53	0.54	23.6064044	43.7155637037037	0.445403856603774	0.010188679245283	18	0	1	24
160	2	3	1	2	41	0.39	17.8128676	45.6740194871795	0.434460185365854	0.00951219512195122	18	1	1	24
161	2	3	2	2	43	0.57	21.6838276	38.0418028070176	0.504275060465116	0.0132558139534884	18	2	1	24
162	2	3	3	2	35	0.34	14.3999712	42.3528564705882	0.411427748571429	0.00971428571428572	18	2	1	24
163	2	4	0	2	55	0.55	24.1418872	43.8943403636363	0.438943403636363	0.01	18	0	1	24
164	2	4	1	2	50	0.66	25.9870448	39.3743103030303	0.519740896	0.0132	18	1	1	24
165	2	4	2	2	44	0.8	31.3289696	39.161212	0.712022036363636	0.0181818181818182	18	2	1	24
166	2	4	0	2	64	0.68	27.9160732	41.0530488235294	0.43618864375	0.010625	18	0	1	24
167	2	4	1	2	56	0.6	25.5612392	42.6020653333333	0.4564507	0.0107142857142857	18	1	1	24
168	2	4	2	2	47	0.68	26.4322052	38.87089	0.562387344680851	0.014468085106383	18	2	1	24
172	2	5	0	2	60	0.67	26.5225276	39.5858620895522	0.442042126666667	0.0111666666666667	18	0	1	24
173	2	5	1	2	52	0.61	25.16124	41.2479344262295	0.48387	0.0117307692307692	18	1	1	24
174	2	5	2	2	41	0.6	22.6967288	37.8278813333333	0.553578751219512	0.0146341463414634	18	2	1	24
169	2	5	0	2	46	0.65	30.1160688	46.3324135384615	0.654697147826087	0.0141304347826087	18	0	1	24
170	2	5	1	2	46	0.68	30.0128432	44.1365341176471	0.652453113043478	0.0147826086956522	18	1	1	24
171	2	5	2	2	44	0.73	28.1225244	38.5240060273973	0.639148281818182	0.0165909090909091	18	2	1	24
175	3	1	0	2	64	0.58	27.3354292	47.1300503448276	0.42711608125	0.0090625	18	0	1	24
176	3	1	1	2	55	0.41	19.6193156	47.8519892682927	0.356714829090909	0.00745454545454545	18	1	1	24
177	3	1	2	2	51	0.45	19.8902828	44.2006284444445	0.390005545098039	0.00882352941176471	18	2	1	24
178	3	1	3	2	59	0.44	19.8773796	45.1758627272727	0.336904738983051	0.00745762711864407	18	2	1	24
179	3	1	0	2	55	0.52	22.3806004	43.0396161538461	0.406920007272727	0.00945454545454546	18	0	1	24
180	3	1	1	2	47	0.42	17.838674	42.4730333333333	0.379546255319149	0.00893617021276596	18	1	1	24
181	3	1	2	2	64	0.64	27.6838156	43.255961875	0.43255961875	0.01	18	2	1	24
182	3	1	3	2	42	0.38	16.2709352	42.8182505263158	0.387403219047619	0.00904761904761905	18	2	1	24
183	3	2	0	2	51	0.43	19.161252	44.5610511627907	0.375710823529412	0.00843137254901961	18	0	1	24
184	3	2	1	2	60	0.47	20.7935068	44.2415038297872	0.346558446666667	0.00783333333333333	18	1	1	24
185	3	2	2	2	46	0.38	16.2322256	42.7163831578948	0.352874469565218	0.00826086956521739	18	2	1	24
186	3	2	3	2	52	0.38	16.3354512	42.9880294736842	0.314143292307692	0.00730769230769231	18	2	1	24
187	3	2	0	2	60	0.43	20.258024	47.1116837209302	0.337633733333333	0.00716666666666667	18	0	1	24
188	3	2	1	2	46	0.42	18.0386736	42.9492228571429	0.39214507826087	0.0091304347826087	18	1	1	24
189	3	2	2	2	61	0.63	25.5096264	40.4914704761905	0.418190596721311	0.010327868852459	18	2	1	24
190	3	2	3	2	51	0.5	20.3741528	40.7483056	0.399493192156863	0.00980392156862745	18	2	1	24
191	3	3	0	2	52	0.44	19.4128644	44.1201463636364	0.373324315384615	0.00846153846153846	18	0	1	24
192	3	3	1	2	50	0.45	18.0128672	40.0285937777778	0.360257344	0.009	18	1	1	24
193	3	3	2	2	50	0.52	21.354796	41.0669153846154	0.42709592	0.0104	18	2	1	24
194	3	3	3	2	63	0.43	20.0386696	46.6015572093023	0.31807412063492	0.00682539682539683	18	2	1	24
195	3	3	0	2	49	0.46	18.9612524	41.2201139130435	0.386964334693878	0.00938775510204082	18	0	1	24
196	3	3	1	2	56	0.65	25.7870452	39.6723772307692	0.46048295	0.0116071428571429	18	1	1	24
197	3	3	2	2	45	0.48	18.8193172	39.2069108333333	0.418207048888889	0.0106666666666667	18	2	1	24
198	3	3	3	2	49	0.43	18.0709316	42.0254223255814	0.36879452244898	0.00877551020408163	18	2	1	24
199	3	4	0	2	58	0.62	25.741884	41.5191677419355	0.443825586206897	0.0106896551724138	18	0	1	24
200	3	4	1	2	48	0.57	23.5935012	41.3921073684211	0.491531275	0.011875	18	1	1	24
201	3	4	2	2	52	0.74	28.3354272	38.2911178378378	0.544912061538462	0.0142307692307692	18	2	1	24
202	3	4	0	2	51	0.54	20.8257648	38.5662311111111	0.408348329411765	0.0105882352941176	18	0	1	24
203	3	4	1	2	46	0.49	19.4386708	39.6707567346939	0.4225798	0.0106521739130435	18	1	1	24
204	3	4	2	2	47	0.54	21.0902804	39.0560748148148	0.448729370212766	0.0114893617021277	18	2	1	24
205	3	4	3	2	48	0.53	21.354796	40.2920679245283	0.444891583333333	0.0110416666666667	18	2	1	24
210	3	5	0	2	61	0.71	28.161234	39.6637098591549	0.461659573770492	0.0116393442622951	18	0	1	24
211	3	5	1	2	52	0.74	26.5418824	35.8674086486486	0.510420815384615	0.0142307692307692	18	1	1	24
212	3	5	2	2	48	0.73	27.193494	37.2513616438356	0.566531125	0.0152083333333333	18	2	1	24
213	3	5	3	2	41	0.95	32.4063868	34.1119861052632	0.790399678048781	0.0231707317073171	18	2	1	24
206	3	5	0	2	52	0.8	28.9612324	36.2015405	0.556946776923077	0.0153846153846154	18	0	1	24
207	3	5	1	2	47	0.75	27.9225248	37.2300330666667	0.594096272340426	0.0159574468085106	18	1	1	24
208	3	5	2	2	46	0.83	27.6709124	33.3384486746988	0.601541573913044	0.0180434782608696	18	2	1	24
209	3	5	3	2	10	0.22	6.6064384	30.0292654545455	0.66064384	0.022	18	2	1	24
214	4	1	0	2	65	0.47	20.2644756	43.1159055319149	0.311761163076923	0.00723076923076923	18	0	1	24
215	4	1	1	2	54	0.52	21.1999576	40.7691492307692	0.392591807407407	0.00962962962962963	18	1	1	24
216	4	1	2	2	56	0.51	21.1354416	41.4420423529412	0.3774186	0.00910714285714286	18	2	1	24
217	4	1	0	2	57	0.45	20.6967328	45.9927395555556	0.363100575438597	0.00789473684210526	18	0	1	24
218	4	1	1	2	64	0.43	19.451574	45.2362186046512	0.30393084375	0.00671875	18	1	1	24
219	4	1	2	2	56	0.38	17.6838356	46.5364094736842	0.315782778571429	0.00678571428571429	18	2	1	24
220	4	2	0	2	58	0.54	23.7935008	44.0620385185185	0.410232772413793	0.00931034482758621	18	0	1	24
221	4	2	1	2	47	0.56	22.2773748	39.7810264285714	0.47398669787234	0.0119148936170213	18	1	1	24
222	4	2	2	2	59	0.53	22.4967292	42.4466588679245	0.381300494915254	0.00898305084745763	18	2	1	24
223	4	2	0	2	64	0.76	30.9741316	40.7554363157895	0.48397080625	0.011875	18	0	1	24
224	4	2	1	2	53	0.48	19.5612512	40.7526066666667	0.369080211320755	0.00905660377358491	18	1	1	24
225	4	2	2	2	54	0.47	22.1160848	47.0554995744681	0.409557125925926	0.0087037037037037	18	2	1	24
226	4	3	0	2	52	0.69	26.8773656	38.9527037681159	0.516872415384615	0.0132692307692308	18	0	1	24
227	4	3	1	2	53	0.79	31.4128404	39.7630891139241	0.592695101886793	0.0149056603773585	18	1	1	24
228	4	3	2	2	57	0.59	23.8451136	40.415446779661	0.41833532631579	0.0103508771929825	18	2	1	24
229	4	3	3	2	59	0.74	28.0838148	37.9511010810811	0.475996861016949	0.0125423728813559	18	2	1	24
230	4	3	0	2	46	0.61	24.4257576	40.0422255737705	0.530994730434783	0.0132608695652174	18	0	1	24
231	4	3	1	2	54	0.82	29.8257468	36.3728619512195	0.552328644444445	0.0151851851851852	18	1	1	24
232	4	3	2	2	51	0.49	21.6257632	44.1342106122449	0.42403457254902	0.0096078431372549	18	2	1	24
233	4	4	0	2	57	0.96	35.0838008	36.5456258333333	0.615505277192982	0.0168421052631579	18	0	1	24
234	4	4	1	2	48	0.92	31.3999372	34.1303665217391	0.654165358333333	0.0191666666666667	18	1	1	24
235	4	4	2	2	60	0.8	28.2644596	35.3305745	0.471074326666667	0.0133333333333333	18	2	1	24
236	4	4	3	2	61	0.66	25.2451108	38.2501678787879	0.413854275409836	0.0108196721311475	18	2	1	24
237	4	4	0	2	63	1.05	38.8257288	36.9768845714285	0.616281409523809	0.0166666666666667	18	0	1	24
238	4	4	1	2	59	1.09	36.6321848	33.6075089908257	0.620884488135593	0.0184745762711864	18	1	1	24
239	4	4	2	2	66	1.16	39.3354052	33.9098320689655	0.595990987878788	0.0175757575757576	18	2	1	24
240	4	4	3	2	58	0.67	26.61285	39.720671641791	0.45884224137931	0.011551724137931	18	2	1	24
244	4	5	0	2	59	1.24	39.8773396	32.1591448387097	0.675887111864407	0.0210169491525424	18	0	1	24
245	4	5	1	2	55	1.48	44.870878	30.3181608108108	0.815834145454545	0.0269090909090909	18	1	1	24
241	4	5	0	2	51	0.77	28.1547824	36.5646524675325	0.552054556862745	0.0150980392156863	18	0	1	24
242	4	5	1	2	51	0.8	28.9096196	36.1370245	0.56685528627451	0.0156862745098039	18	1	1	24
243	4	5	2	2	24	0.42	15.0064216	35.7295752380952	0.625267566666666	0.0175	18	2	1	24
246	5	1	0	2	58	0.72	29.6838116	41.2275161111111	0.511789855172414	0.0124137931034483	18	0	1	24
247	5	1	1	2	55	0.53	24.064468	45.4046566037736	0.437535781818182	0.00963636363636364	18	1	1	24
248	5	1	2	2	46	0.51	20.3612496	39.9240188235294	0.442635860869565	0.0110869565217391	18	2	1	24
249	5	1	0	2	54	0.81	31.0580024	38.3432128395062	0.575148192592593	0.015	18	0	1	24
250	5	1	1	2	48	0.74	27.6063964	37.3059410810811	0.575133258333333	0.0154166666666667	18	1	1	24
251	5	1	2	2	36	0.83	25.6064004	30.8510848192771	0.7112889	0.0230555555555556	18	2	1	24
252	5	1	3	2	52	0.72	26.6322048	36.9891733333333	0.512157784615385	0.0138461538461538	18	2	1	24
253	5	2	0	2	51	0.76	29.387038	38.6671552631579	0.576216431372549	0.0149019607843137	18	0	1	24
254	5	2	1	2	56	0.63	25.1999496	39.99992	0.4499991	0.01125	18	1	1	24
255	5	2	2	2	58	0.71	26.4644632	37.2738918309859	0.456283848275862	0.0122413793103448	18	2	1	24
256	5	2	3	2	48	0.76	28.1483308	37.037277368421	0.586423558333333	0.0158333333333333	18	2	1	24
257	5	2	0	2	52	0.69	27.5547836	39.9344689855072	0.529899684615385	0.0132692307692308	18	0	1	24
258	5	2	1	2	48	0.58	23.38705	40.3225	0.487230208333333	0.0120833333333333	18	1	1	24
259	5	2	2	2	51	0.59	21.4322152	36.3257884745763	0.42023951372549	0.0115686274509804	18	2	1	24
260	5	2	3	2	69	1.33	45.999908	34.5863969924812	0.666665333333333	0.0192753623188406	18	2	1	24
261	5	3	0	2	58	0.88	33.8644484	38.4823277272727	0.5838698	0.0151724137931034	18	0	1	24
262	5	3	1	2	53	0.95	33.6644488	35.4362618947369	0.635178279245283	0.0179245283018868	18	1	1	24
263	5	3	2	2	55	0.76	26.3289796	34.6433942105263	0.47870872	0.0138181818181818	18	2	1	24
264	5	3	3	2	37	0.89	27.4386548	30.8299492134831	0.741585264864865	0.0240540540540541	18	2	1	24
265	5	3	0	2	48	1.19	38.4257296	32.2905290756302	0.800536033333333	0.0247916666666667	18	0	1	24
266	5	3	1	2	49	0.88	29.612844	33.6509590909091	0.604343755102041	0.0179591836734694	18	1	1	24
267	5	3	2	2	47	0.82	26.7547852	32.6277868292683	0.56925074893617	0.0174468085106383	18	2	1	24
268	5	3	3	2	45	0.97	29.290264	30.1961484536082	0.650894755555556	0.0215555555555556	18	2	1	24
269	5	4	0	2	48	1.13	37.2773448	32.9888007079646	0.77661135	0.0235416666666667	18	0	1	24
270	5	4	1	2	44	1.27	37.612828	29.6164	0.854837	0.0288636363636364	18	1	1	24
271	5	4	2	2	43	1.48	43.032172	29.0757918918919	1.00074818604651	0.0344186046511628	18	2	1	24
272	5	4	3	2	43	1.31	37.7160536	28.790880610687	0.877117525581395	0.0304651162790698	18	2	1	24
273	5	4	0	2	46	1.1	35.7676704	32.516064	0.777558052173913	0.0239130434782609	18	0	1	24
274	5	4	1	2	43	0.97	33.9612224	35.0115694845361	0.789795869767442	0.0225581395348837	18	1	1	24
275	5	4	2	2	45	1	31.8644524	31.8644524	0.708098942222222	0.0222222222222222	18	2	1	24
276	5	4	3	2	38	1.14	32.4321932	28.4492922807018	0.853478768421053	0.03	18	2	1	24
280	5	5	0	2	48	1.31	39.4708888	30.1304494656488	0.822310183333333	0.0272916666666667	18	0	1	24
281	5	5	1	2	43	1.28	37.41928	29.2338125	0.870215813953489	0.0297674418604651	18	1	1	24
282	5	5	2	2	40	1.25	38.0257304	30.42058432	0.95064326	0.03125	18	2	1	24
277	5	5	0	2	46	0.98	33.2128368	33.8906497959184	0.722018191304348	0.021304347826087	18	0	1	24
278	5	5	1	2	38	1.23	34.8257368	28.3136071544716	0.916466757894737	0.0323684210526316	18	1	1	24
279	5	5	2	2	35	1.15	32.8644504	28.5777829565217	0.938984297142857	0.0328571428571429	18	2	1	24
283	6	1	0	2	54	0.54	26.8580108	49.7370570370371	0.49737057037037	0.01	18	0	1	24
284	6	1	1	2	52	0.48	22.5870516	47.0563575	0.434366376923077	0.00923076923076923	18	1	1	24
285	6	1	2	2	69	0.85	37.5031508	44.1213538823529	0.543523924637681	0.0123188405797101	18	2	1	24
286	6	1	3	2	70	0.58	26.1870444	45.1500765517241	0.374100634285714	0.00828571428571429	18	2	1	24
287	6	1	0	2	51	0.4	19.99996	49.9999	0.392156078431373	0.00784313725490196	18	0	1	24
288	6	1	1	2	47	0.38	19.6838316	51.7995568421052	0.418804927659574	0.00808510638297872	18	1	1	24
289	6	1	2	2	40	0.39	17.6193196	45.1777425641026	0.44048299	0.00975	18	2	1	24
290	6	1	3	2	47	0.38	17.3741588	45.7214705263158	0.369662953191489	0.00808510638297872	18	2	1	24
291	6	2	0	2	48	0.42	20.7612488	49.4315447619048	0.432526016666667	0.00875	18	0	1	24
292	6	2	1	2	64	0.54	27.5225256	50.96764	0.4300394625	0.0084375	18	1	1	24
293	6	2	2	2	41	0.45	19.9612504	44.3583342222222	0.486859765853659	0.0109756097560976	18	2	1	24
294	6	2	0	2	61	0.33	17.2193204	52.1797587878788	0.282283940983606	0.00540983606557377	18	0	1	24
295	6	2	1	2	45	0.4	18.7935108	46.983777	0.417633573333333	0.00888888888888889	18	1	1	24
296	6	2	2	2	55	0.41	20.3999592	49.7559980487805	0.370908349090909	0.00745454545454545	18	2	1	24
297	6	3	0	2	64	0.79	35.2838004	44.6630384810127	0.55130938125	0.01234375	18	0	1	24
298	6	3	1	2	58	0.53	23.2644696	43.8952256603774	0.401111544827586	0.00913793103448276	18	1	1	24
299	6	3	2	2	37	0.45	19.0128652	42.2508115555556	0.513861221621622	0.0121621621621622	18	2	1	24
300	6	3	3	2	53	0.64	26.3741408	41.209595	0.497625298113207	0.0120754716981132	18	2	1	24
301	6	3	0	2	64	0.51	25.4322072	49.8670729411765	0.3973782375	0.00796875	18	0	1	24
302	6	3	1	2	43	0.58	24.9096276	42.9476337931034	0.579293665116279	0.0134883720930233	18	1	1	24
303	6	3	2	2	49	0.9	32.7547732	36.3941924444445	0.668464759183674	0.0183673469387755	18	2	1	24
304	6	3	3	2	51	0.52	22.4709228	43.2133130769231	0.440606329411765	0.0101960784313725	18	2	1	24
305	6	4	0	2	69	0.69	31.225744	45.2547014492754	0.452547014492754	0.01	18	0	1	24
306	6	4	1	2	57	0.76	34.6579952	45.6026252631579	0.608035003508772	0.0133333333333333	18	1	1	24
307	6	4	2	2	42	1.01	37.1225064	36.7549568316832	0.8838692	0.024047619047619	18	2	1	24
308	6	4	0	2	70	0.62	29.2709092	47.2111438709677	0.418155845714286	0.00885714285714286	18	0	1	24
309	6	4	1	2	56	0.74	30.9096156	41.7697508108108	0.551957421428572	0.0132142857142857	18	1	1	24
310	6	4	2	2	47	1.13	40.516048	35.8549097345133	0.862043574468085	0.0240425531914894	18	2	1	24
313	6	5	0	2	64	1.06	41.5224976	39.1721675471698	0.648789025	0.0165625	18	0	1	24
314	6	5	1	2	54	1.26	43.5741064	34.5826241269841	0.806927896296296	0.0233333333333333	18	1	1	24
311	6	5	0	2	50	1.26	46.1999076	36.6665933333333	0.923998152	0.0252	18	0	1	24
312	6	5	1	2	51	1.43	48.032162	33.5889244755245	0.941807098039216	0.0280392156862745	18	1	1	24
315	7	1	0	3	71	0.408	19.5547996	47.9284303921569	0.275419712676056	0.00574647887323944	18	0	white	24
316	7	1	1	3	55	0.414	17.9806092	43.4314231884058	0.326920167272727	0.00752727272727273	18	1	white	24
317	7	1	2	3	45	0.411	17.0773852	41.5508155717762	0.379497448888889	0.00913333333333333	18	2	white	24
318	7	1	3	3	75	0.488	21.8257628	44.7249237704918	0.291010170666667	0.00650666666666667	18	2	white	24
319	7	1	0	3	56	0.353	17.41932	49.3465155807366	0.311059285714286	0.00630357142857143	18	0	white	24
320	7	1	1	3	59	0.366	17.7806096	48.5809005464481	0.30136626440678	0.00620338983050847	18	1	white	24
321	7	1	2	3	52	0.459	18.903188	41.1834161220044	0.363522846153846	0.00882692307692308	18	2	white	24
322	7	1	3	3	43	0.304	14.1225524	46.4557644736842	0.328431451162791	0.00706976744186047	18	2	white	24
323	7	2	0	3	49	0.329	15.4386788	46.9260753799392	0.31507507755102	0.00671428571428571	18	0	white	24
324	7	2	1	3	55	0.383	18.0902864	47.2331237597911	0.328914298181818	0.00696363636363636	18	1	white	24
325	7	2	2	3	50	0.466	18.9483492	40.6616935622318	0.378966984	0.00932	18	2	white	24
326	7	2	3	3	46	0.391	16.161258	41.3331406649616	0.351331695652174	0.0085	18	2	white	24
327	7	2	0	3	56	0.365	17.387062	47.6357863013699	0.31048325	0.00651785714285714	18	0	white	24
328	7	2	1	3	46	0.316	14.6902932	46.4882696202532	0.3193542	0.0068695652173913	18	1	white	24
329	7	2	2	3	37	0.309	13.7935208	44.6392258899676	0.37279785945946	0.00835135135135135	18	2	white	24
330	7	2	3	3	39	0.276	12.1032016	43.8521797101449	0.310338502564103	0.00707692307692308	18	2	white	24
331	7	3	0	3	68	0.563	24.6580152	43.7975403197158	0.362617870588235	0.00827941176470588	18	0	white	24
332	7	3	1	3	53	0.456	19.6064124	42.9965184210526	0.369932309433962	0.00860377358490566	18	1	white	24
333	7	3	2	3	48	0.53	21.1031836	39.8173275471698	0.439649658333333	0.0110416666666667	18	2	white	24
334	7	3	3	3	38	0.351	13.7612628	39.2058769230769	0.362138494736842	0.00923684210526316	18	2	white	24
335	7	3	0	3	59	0.418	20.1999596	48.3252622009569	0.342372196610169	0.00708474576271186	18	0	white	24
336	7	3	1	3	48	0.378	17.0064176	44.9905227513227	0.354300366666667	0.007875	18	1	white	24
337	7	3	2	3	46	0.453	17.6257712	38.908987196468	0.383168939130435	0.00984782608695652	18	2	white	24
338	7	3	3	3	37	0.321	13.451586	41.9052523364486	0.363556378378378	0.00867567567567568	18	2	white	24
339	7	4	0	3	68	0.573	27.1096232	47.3117333333333	0.398670929411765	0.00842647058823529	18	0	white	24
340	7	4	1	3	55	0.53	22.4128584	42.2884120754717	0.407506516363636	0.00963636363636364	18	1	white	24
341	7	4	2	3	60	0.938	33.3289656	35.5319462686567	0.55548276	0.0156333333333333	18	2	white	24
342	7	4	3	3	53	0.571	21.1483448	37.0373814360771	0.399025373584906	0.0107735849056604	18	2	white	24
343	7	4	0	3	61	0.619	27.6644608	44.6921822294022	0.453515750819672	0.0101475409836066	18	0	white	24
344	7	4	1	3	50	0.564	25.032208	44.3833475177305	0.50064416	0.01128	18	1	white	24
345	7	4	2	3	54	0.753	28.9934904	38.503971314741	0.536916488888889	0.0139444444444444	18	2	white	24
349	7	5	0	3	46	0.717	28.741878	40.0863012552301	0.624823434782609	0.0155869565217391	18	0	white	24
350	7	5	1	3	47	0.592	23.741888	40.1045405405405	0.505146553191489	0.0125957446808511	18	1	white	24
351	7	5	2	3	46	0.954	31.8257428	33.3603174004193	0.691863973913043	0.0207391304347826	18	2	white	24
346	7	5	0	3	61	0.74	29.7547792	40.2091610810811	0.487783265573771	0.0121311475409836	18	0	white	24
347	7	5	1	3	56	0.571	21.9935044	38.5175208406305	0.39274115	0.0101964285714286	18	1	white	24
348	7	5	2	3	53	1.045	34.4321892	32.9494633492823	0.649663947169811	0.0197169811320755	18	2	white	24
352	8	1	0	3	52	0.575	24.7160796	42.9844862608696	0.475309223076923	0.0110576923076923	18	0	white	24
353	8	1	1	3	53	0.507	21.12899	41.6745364891519	0.398660188679245	0.00956603773584906	18	1	white	24
354	8	1	2	3	44	0.5	20.9806032	41.9612064	0.476831890909091	0.0113636363636364	18	2	white	24
355	8	1	3	3	50	0.388	18.2451248	47.0235175257732	0.364902496	0.00776	18	2	white	24
356	8	1	0	3	56	0.502	24.967692	49.7364382470119	0.445851642857143	0.00896428571428571	18	0	white	24
357	8	1	1	3	68	0.531	24.8580148	46.8135871939736	0.36555904117647	0.00780882352941176	18	1	white	24
358	8	1	2	3	49	0.436	19.2838324	44.2289733944954	0.3935476	0.00889795918367347	18	2	white	24
359	8	2	0	3	57	0.471	22.1999556	47.1336636942675	0.389472905263158	0.00826315789473684	18	0	white	24
360	8	2	1	3	73	0.608	26.741882	43.9833585526316	0.366327150684932	0.00832876712328767	18	1	white	24
361	8	2	2	3	68	0.644	26.806398	41.6248416149068	0.394211735294118	0.00947058823529412	18	2	white	24
362	8	2	3	3	25	0.174	8.2774028	47.5712804597701	0.331096112	0.00696	18	2	white	24
363	8	2	0	3	64	0.752	30.32252	40.3225	0.473789375	0.01175	18	0	white	24
364	8	2	1	3	50	0.474	19.1031876	40.3020835443038	0.382063752	0.00948	18	1	white	24
365	8	2	2	3	53	0.574	22.8644704	39.8335721254355	0.431405101886792	0.0108301886792453	18	2	white	24
366	8	3	0	3	49	0.641	25.4580136	39.7160898595944	0.519551297959184	0.0130816326530612	18	0	white	24
367	8	3	1	3	48	0.421	18.2322216	43.3069396674584	0.37983795	0.00877083333333333	18	1	white	24
368	8	3	2	3	58	0.714	26.7483336	37.4626521008403	0.461178165517242	0.0123103448275862	18	2	white	24
369	8	3	3	3	39	0.44	17.6580292	40.1318845454545	0.45276997948718	0.0112820512820513	18	2	white	24
370	8	3	0	3	60	0.697	30.6063904	43.9116074605452	0.510106506666667	0.0116166666666667	18	0	white	24
371	8	3	1	3	43	0.444	18.5031888	41.6738486486487	0.43030671627907	0.0103255813953488	18	1	white	24
372	8	3	2	3	50	0.646	24.5225316	37.9605752321981	0.490450632	0.01292	18	2	white	24
373	8	3	3	3	43	0.532	21.8515692	41.0743781954887	0.508176027906977	0.0123720930232558	18	2	white	24
