Snr	strata	Df1	Df01	Df11	Df21	Df31	Df2	Df02	Df12	Df22	Df32	Bf	f0	f1	f2	f3	rf0	rf1	rf2	rf3
5	3	87.215	28.894	29.2	20.643	4.99	163.776	66.51	46.25	37.379	8.189	1071.158	95.404	75.45	58.022	22.115	0.0890662255241524	0.0704377878893683	0.0541675457775604	0.0206458804396737
5	4	135.19	50.04	36.719	35.233	3.71	147.027	60.45	37.096	31.867	10.931	1071.158	110.49	73.815	67.1	30.812	0.103150048825663	0.0689114024261594	0.0626424859824601	0.0287651308210366
5	5	39.127	15.328	11.882	8.117	0	42.242	20.331	10.982	9.879	0	1071.158	35.659	22.864	17.996	4.84999999999999	0.033290140203406	0.0213451236885688	0.0168005093552959	0.0045278100896413
6	1	58.743	26.178	21.014	9.772	0.58	39.446	15.464	14.847	7.402	0.78	477.907	41.642	35.861	17.174	3.512	0.0871341076820385	0.0750376119203109	0.0359358619982549	0.00734871010468564
6	2	15.198	4.71	6.426	3.862	0	5.246	2.621	1.715	0.91	0	477.907	7.331	8.141	4.772	0.199999999999999	0.0153398046063355	0.017034695034808	0.00998520632675395	0.000418491463820365
6	3	71.976	35.58	23.979	10.527	0.64	111.174	53.29	39.833	16.726	0.92	477.907	88.87	63.812	27.253	3.215	0.18595668194858	0.133523886446526	0.0570257393174823	0.0067272502809124
6	4	65.048	28.822	29.57	3.652	0	64.923	28.958	27.273	4.689	0	477.907	57.78	56.843	8.341	7.007	0.120902183897704	0.118941551389706	0.0174531864986284	0.0146618484349466
6	5	18.144	10.683	7.461	0	0	28.009	21.87	6.139	0	0	477.907	32.553	13.6	0	-7.105427357601e-15	0.068115763108722	0.0284574195397849	0	-1.48678034797586e-17
7	1	67.062	27.233	26.082	11.994	0.488	99.328	36.748	37.709	20.322	2.554	801.331	63.981	63.791	32.316	6.30199999999999	0.0798434105257378	0.0796063050100395	0.040327904448973	0.00786441557858113
7	2	95.427	35.798	34.467	23.052	1.974	69.942	23.571	25.293	17.773	1.812	801.331	59.369	59.76	40.825	5.41499999999999	0.0740879861131043	0.074575924305936	0.0509464877809544	0.00675750719740032
7	3	121.342	45.353	42.436	32.104	1.051	117.839	45.198	41.951	28.616	1.021	801.331	90.551	84.387	60.72	3.523	0.113000745010489	0.105308542911731	0.0757739311220956	0.00439643543055241
7	4	103.041	44.843	33.023	23.567	0.571	70.615	32.852	25.196	11.613	0	801.331	77.695	58.219	35.18	2.56200000000001	0.0969574370640846	0.0726528737812465	0.0439019581171825	0.00319718069062599
7	5	34.629	17.05	8.888	3.288	0	22.106	12.747	3.409	5.279	0	801.331	29.797	12.297	8.567	6.074	0.0371843844803209	0.0153457185607446	0.0106909629104577	0.00757988895974323
8	1	157.659	83.045	42.717	27.169	0.688	51.588	25.592	12.373	11.498	0	961.399	108.637	55.09	38.667	6.85300000000001	0.112998869356011	0.0573019110691815	0.0402195134382291	0.00712815386743694
8	2	82.436	45.991	23.532	10.902	0.174	44.319	22.917	11.747	8.236	0	961.399	68.908	35.279	19.138	3.43000000000001	0.0716747157007653	0.0366954823127546	0.019906407225304	0.00356771746174066
8	3	145.976	71.861	41.931	30.755	0.44	218.747	137.677	54.584	22.396	0.532	961.399	209.538	96.515	53.151	5.51899999999995	0.217951131632132	0.100390160588892	0.0552850585448914	0.00574059261555291
8	4	80.292	40.541	21.655	15.886	0	101.867	51.126	33.023	14.068	0.348	961.399	91.667	54.678	29.954	5.85999999999999	0.0953475092027348	0.0568733689134272	0.031156678964717	0.00609528406000005
8	5	32.121	16.203	10.72	4.694	0	46.394	24.848	13.532	7.097	0.504	961.399	41.051	24.252	11.791	1.42100000000001	0.0426992330967684	0.025225738741147	0.0122644188313073	0.00147805437700685
9	1	20.797	9.48	7.894	3.076	0.176	21	9.539	7.65	3.518	0	244.745	19.019	15.544	6.594	0.639999999999993	0.0777094526956628	0.063511001246195	0.0269423277288606	0.00261496659788757
9	2	21.19	10.613	5.817	4.76	0	17.376	7.103	6.184	3.752	0	244.745	17.716	12.001	8.512	0.336999999999996	0.072385544137776	0.0490347095957016	0.034779055751905	0.00137694334920017
9	3	25.595	11.794	8.51	5.039	0.252	43.926	18.892	15.293	9.232	0.271	244.745	30.686	23.803	14.271	0.76100000000001	0.125379476598092	0.0972563280148726	0.0583096692475842	0.00310935872030076
9	4	26.927	11.69	8.55	6.606	0.081	35.648	16.208	12.567	6.873	0	244.745	27.898	21.117	13.479	0.0810000000000031	0.113988028356044	0.0862816400743631	0.0550736480826983	0.000330956710045162
9	5	15.649	6.892	6.123	2.461	0	16.637	7.616	5.287	3.315	0	244.745	14.508	11.41	5.776	0.592000000000002	0.0592780240658645	0.0466199513779648	0.0236000735459356	0.00241884410304604
