yta	avd	rev	år	mån	dag	nr	t_l	beha	p_kod	hojd	krong	b1	b2	dia	dia6m1	dia6m2	b6m1	b6m2	rc1	rc2
1471	31	8	2014	6	3	74	1	1	1	182	107	32	32	211.978772522156	0	0	0	0	0	0
1471	31	8	2014	6	3	81	1	1	1	171	74	18	20	166.481230173254	0	0	0	0	0	0
1471	31	8	2014	6	3	82	1	1	3	203	85	24	24	247.997983862773	0	0	0	0	0	0
1471	31	8	2014	6	3	84	1	1	3	214	98	32	34	268.983270855271	0	0	0	0	0	0
1471	31	8	2014	6	3	87	1	1	3	202	92	22	22	227.49505489131	0	0	0	0	0	0
1471	31	9	2015	5	13	1	1	1	1	175	113	14	14	162.987729599501	0	0	0	0	0	0
1471	31	9	2015	5	13	3	1	1	1	185	111	18	16	193.935556306728	0	0	0	0	0	0
1471	31	9	2015	5	13	9	1	1	1	164	86	16	16	164.481001942474	0	0	0	0	0	0
1471	31	9	2015	5	13	17	1	1	1	181	94	20	20	198.469141178169	0	0	0	0	0	0
1471	31	9	2015	5	13	19	1	1	3	170	82	30	33	285.858356533441	0	0	0	0	0	0
1471	31	9	2015	5	13	22	1	1	1	185	99	28	27	212.400564971	0	0	0	0	0	0
1471	31	9	2015	5	13	24	1	1	1	183	101	20	20	187.904230926289	0	0	0	0	0	0
1471	31	9	2015	5	13	36	1	1	1	186	111	12	12	150.499169432924	0	0	0	0	0	0
1471	31	9	2015	5	13	41	1	1	1	172	100	10	10	142.996503453756	0	0	0	0	0	0
1471	31	9	2015	5	13	43	1	1	1	180	90	34	36	228.302430998884	0	0	0	0	0	0
1471	31	9	2015	5	13	44	1	1	1	159	106	12	12	128.499027233672	0	0	0	0	0	0
1471	31	9	2015	5	13	51	1	1	3	185	64	32	33	231.946114431779	0	0	0	0	0	0
1471	31	9	2015	5	13	55	1	1	1	166	93	11	10	151.947359305781	0	0	0	0	0	0
1471	31	9	2015	5	13	61	1	1	1	192	86	24	24	183.989130113711	0	0	0	0	0	0
1471	31	9	2015	5	13	68	1	1	1	196	103	20	18	225.964598997277	0	0	0	0	0	0
1471	31	9	2015	5	13	74	1	1	1	182	107	28	30	213.990654001524	0	0	0	0	0	0
1471	31	9	2015	5	13	81	1	1	1	173	81	19	20	168.493323309857	0	0	0	0	0	0
1471	31	9	2015	5	13	82	1	1	3	205	85	22	23	252.992094738156	0	0	0	0	0	0
1471	31	9	2015	5	13	84	1	1	3	216	98	24	27	272.998168492025	0	0	0	0	0	0
1471	31	9	2015	5	13	87	1	1	3	202	101	20	22	228.980348501787	0	0	0	0	0	0
1471	31	10	2016	5	6	1	1	1	1	178	115	16	18	165.987951369971	0	0	0	0	0	0
1471	31	10	2016	5	6	3	1	1	1	190	111	20	20	197.393008994746	0	0	0	0	0	0
1471	31	10	2016	5	6	9	1	1	1	168	91	18	18	167.997023783161	0	0	0	0	0	0
1471	31	10	2016	5	6	17	1	1	1	183	94	23	23	200.469449043988	0	0	0	0	0	0
1471	31	10	2016	5	6	19	1	1	3	174	84	35	42	290.375618811222	0	0	0	0	0	0
